model,generation,problem_key,top25_count
gemma,gen_1,1323 f reality show,0
gemma,gen_1,1329 d dreamoon likes strings,0
gemma,gen_1,133 d piet,0
gemma,gen_1,1332 g no monotone triples,0
gemma,gen_1,1334 d minimum euler cycle,0
gemma,gen_1,1342 e placing rooks,0
gemma,gen_1,1348 f phoenix and memory,0
gemma,gen_1,1359 d yet another yet another task,0
gemma,gen_1,1364 e x or,0
gemma,gen_1,1366 a shovels and swords,0
gemma,gen_1,1379 f1 chess strikes back easy version,0
gemma,gen_1,1384 d gamegame,0
gemma,gen_1,1384 f rearrange,0
gemma,gen_1,1391 c cyclic permutations,0
gemma,gen_1,1398 a bad triangle,0
gemma,gen_1,1408 a circle coloring,0
gemma,gen_1,141 c queue,0
gemma,gen_1,1413 f roads and ramen,0
gemma,gen_1,1421 b putting bricks in the wall,0
gemma,gen_1,1423 h virus,0
gemma,gen_1,1424 n bubblesquare tokens,0
gemma,gen_1,1428 d bouncing boomerangs,0
gemma,gen_1,143 a help vasilisa the wise 2,0
gemma,gen_1,1433 c dominant piranha,0
gemma,gen_1,1450 b balls of steel,0
gemma,gen_1,1450 d rating compression,0
gemma,gen_1,1463 b find the array,0
gemma,gen_1,1468 j road reform,0
gemma,gen_1,147 b smile house,0
gemma,gen_1,1470 e strange permutation,0
gemma,gen_1,1473 g tiles,0
gemma,gen_1,1474 b different divisors,0
gemma,gen_1,148 b escape,0
gemma,gen_1,1493 c k beautiful strings,0
gemma,gen_1,1508 c complete the mst,0
gemma,gen_1,1511 f chainword,0
gemma,gen_1,1513 c add one,0
gemma,gen_1,1515 i phoenix and diamonds,0
gemma,gen_1,152 e garden,0
gemma,gen_1,1523 d love hate,0
gemma,gen_1,1534 d lost tree,0
gemma,gen_1,1540 c1 converging array easy version,0
gemma,gen_1,1547 c pair programming,0
gemma,gen_1,155 a i love username,0
gemma,gen_1,155 c hometask,0
gemma,gen_1,157 a game outcome,0
gemma,gen_1,166 a rank list,0
gemma,gen_1,167 c wizards and numbers,0
gemma,gen_1,177 c1 party,0
gemma,gen_1,178 a1 educational game,0
gemma,gen_1,19 b checkout assistant,0
gemma,gen_1,204 d little elephant and retro strings,0
gemma,gen_1,209 b pixels,0
gemma,gen_1,219 a k string,0
gemma,gen_1,223 c partial sums,0
gemma,gen_1,233 c cycles,0
gemma,gen_1,242 c king s path,0
gemma,gen_1,25 d roads not only in berland,0
gemma,gen_1,260 b ancient prophesy,0
gemma,gen_1,270 b multithreading,0
gemma,gen_1,270 d greenhouse effect,0
gemma,gen_1,272 b dima and sequence,0
gemma,gen_1,277 c game,0
gemma,gen_1,278 b new problem,0
gemma,gen_1,294 a shaass and oskols,0
gemma,gen_1,300 a array,0
gemma,gen_1,305 a strange addition,0
gemma,gen_1,309 b context advertising,0
gemma,gen_1,312 d cats transport,0
gemma,gen_1,317 b ants,0
gemma,gen_1,319 b psychos in a line,0
gemma,gen_1,323 c two permutations,0
gemma,gen_1,325 d reclamation,0
gemma,gen_1,331 a2 oh sweet beaverette,0
gemma,gen_1,331 d2 escaping on beaveractor,0
gemma,gen_1,331 e2 deja vu,0
gemma,gen_1,341 b bubble sort graph,0
gemma,gen_1,348 a mafia,0
gemma,gen_1,348 e pilgrims,0
gemma,gen_1,354 e lucky number representation,0
gemma,gen_1,361 c levko and array recovery,0
gemma,gen_1,364 d ghd,0
gemma,gen_1,365 a good number,0
gemma,gen_1,366 d dima and trap graph,0
gemma,gen_1,371 b fox dividing cheese,0
gemma,gen_1,378 c maze,0
gemma,gen_1,38 c blinds,0
gemma,gen_1,388 c fox and card game,0
gemma,gen_1,388 e fox and meteor shower,0
gemma,gen_1,399 c cards,0
gemma,gen_1,405 e graph cutting,0
gemma,gen_1,415 e mashmokh and reverse operation,0
gemma,gen_1,416 d population size,0
gemma,gen_1,42 a guilty to the kitchen,0
gemma,gen_1,421 d bug in code,0
gemma,gen_1,425 a sereja and swaps,0
gemma,gen_1,436 b om nom and spiders,0
gemma,gen_1,436 d pudding monsters,0
gemma,gen_1,438 a the child and toy,0
gemma,gen_1,442 c artem and array,0
gemma,gen_1,443 b kolya and tandem repeat,0
gemma,gen_1,449 d jzzhu and numbers,0
gemma,gen_1,459 e pashmak and graph,0
gemma,gen_1,46 c hamsters and tigers,0
gemma,gen_1,465 c no to palindromes,0
gemma,gen_1,488 c fight the monster,0
gemma,gen_1,494 d birthday,0
gemma,gen_1,5 a chat server s outgoing traffic,0
gemma,gen_1,500 c new year book reading,0
gemma,gen_1,516 c drazil and park,0
gemma,gen_1,518 e arthur and questions,0
gemma,gen_1,519 b a and b and compilation errors,0
gemma,gen_1,521 c pluses everywhere,0
gemma,gen_1,526 a king of thieves,0
gemma,gen_1,529 c rooks and rectangles,0
gemma,gen_1,548 e mike and foam,0
gemma,gen_1,551 b zgukistringz,0
gemma,gen_1,556 c case of matryoshkas,0
gemma,gen_1,56 e domino principle,0
gemma,gen_1,566 c logistical questions,0
gemma,gen_1,571 e geometric progressions,0
gemma,gen_1,578 c weakness and poorness,0
gemma,gen_1,580 d kefa and dishes,0
gemma,gen_1,586 f lizard era beginning,0
gemma,gen_1,587 d duff in mafia,0
gemma,gen_1,593 c beautiful function,0
gemma,gen_1,602 c the two routes,0
gemma,gen_1,604 a uncowed forces,0
gemma,gen_1,609 b the best gift,0
gemma,gen_1,615 a bulbs,0
gemma,gen_1,621 d rat kwesh and cheese,0
gemma,gen_1,624 d array gcd,0
gemma,gen_1,626 d jerry s protest,0
gemma,gen_1,633 h fibonacci ish ii,0
gemma,gen_1,662 c binary table,0
gemma,gen_1,663 a rebus,0
gemma,gen_1,67 e save the city,0
gemma,gen_1,673 a bear and game,0
gemma,gen_1,673 c bear and colors,0
gemma,gen_1,675 e trains and statistic,0
gemma,gen_1,685 d kay and eternity,0
gemma,gen_1,687 a np hard problem,0
gemma,gen_1,687 d dividing kingdom ii,0
gemma,gen_1,698 b fix a tree,0
gemma,gen_1,7 b memory manager,0
gemma,gen_1,708 c centroids,0
gemma,gen_1,709 e centroids,0
gemma,gen_1,716 d complete the graph,0
gemma,gen_1,719 e sasha and array,0
gemma,gen_1,725 c hidden word,0
gemma,gen_1,73 f plane of tanks,0
gemma,gen_1,730 g car repair shop,0
gemma,gen_1,747 c servers,0
gemma,gen_1,754 b ilya and tic tac toe game,0
gemma,gen_1,757 d felicity s big secret revealed,0
gemma,gen_1,76 f tourist,0
gemma,gen_1,760 f bacterial melee,0
gemma,gen_1,765 d artsem and saunders,0
gemma,gen_1,784 b kids riddle,0
gemma,gen_1,789 a anastasia and pebbles,0
gemma,gen_1,79 d password,0
gemma,gen_1,799 d field expansion,0
gemma,gen_1,80 c heroes,0
gemma,gen_1,819 d mister b and astronomers,0
gemma,gen_1,825 e minimal labels,0
gemma,gen_1,83 c track,0
gemma,gen_1,846 b math show,0
gemma,gen_1,846 e chemistry in berland,0
gemma,gen_1,848 c goodbye souvenir,0
gemma,gen_1,860 c tests renumeration,0
gemma,gen_1,867 d gotta go fast,0
gemma,gen_1,87 b vasya and types,0
gemma,gen_1,875 d high cry,0
gemma,gen_1,887 b cubes for masha,0
gemma,gen_1,893 a chess for three,0
gemma,gen_1,896 e welcome home chtholly,0
gemma,gen_1,9 e interesting graph and apples,0
gemma,gen_1,901 d weighting a tree,0
gemma,gen_1,903 d almost difference,0
gemma,gen_1,909 d colorful points,0
gemma,gen_1,918 a eleven,0
gemma,gen_1,920 e connected components,0
gemma,gen_1,924 c riverside curio,0
gemma,gen_1,925 e may holidays,0
gemma,gen_1,936 a save energy,0
gemma,gen_1,958 e2 guard duty medium,0
gemma,gen_1,962 f simple cycles edges,0
gemma,gen_1,967 d resource distribution,0
gemma,gen_1,979 e kuro and topological parity,0
gemma,gen_1,985 a chess placing,0
gemma,gen_1,989 e a trance of nightfall,0
gemma,gen_1,993 d compute power,0
gemma,gen_1,996 f game,0
gemma,gen_1,999 f cards and joy,0
gemma,gen_1,p00156 moats around the castle,0
gemma,gen_1,p00163 highway toll,0
gemma,gen_1,p00167 bubble sort,0
gemma,gen_1,p00224 bicycle diet,0
gemma,gen_1,p00323 metal recycling,0
gemma,gen_1,p00365 age difference,0
gemma,gen_1,p00386 gathering,0
gemma,gen_1,p00395 maze and items,0
gemma,gen_1,p00447 searching constellation,0
gemma,gen_1,p00573 commuter pass,0
gemma,gen_1,p00676 knd is so sexy,0
gemma,gen_1,p00680 knd factory,0
gemma,gen_1,p00720 earth observation with a mobile robot team,0
gemma,gen_1,p00738 roll a big ball,0
gemma,gen_1,p00748 pollock s conjecture,0
gemma,gen_1,p00812 equals are equals,0
gemma,gen_1,p00819 unreliable message,0
gemma,gen_1,p00918 dragon s cruller,0
gemma,gen_1,p00943 routing a marathon race,0
gemma,gen_1,p00953 animal companion in maze,0
gemma,gen_1,p00991 grid,0
gemma,gen_1,p01051 squid ink,0
gemma,gen_1,p01076 graph making,0
gemma,gen_1,p01086 short phrase,0
gemma,gen_1,p01123 let s move tiles,0
gemma,gen_1,p01219 private teacher,0
gemma,gen_1,p01222 walk under a scorching sun,0
gemma,gen_1,p01262 adaptive time slicing quantization,0
gemma,gen_1,p01280 galaxy wide web service,0
gemma,gen_1,p01458 kth sentence,0
gemma,gen_1,p01576 exciting bicycle,0
gemma,gen_1,p01609 one,0
gemma,gen_1,p01650 stack maze,0
gemma,gen_1,p01684 venn diagram,0
gemma,gen_1,p01838 optimal tournament,0
gemma,gen_1,p01856 typhoon,0
gemma,gen_1,p01963 separate string,0
gemma,gen_1,p01974 pigeonhole principle,0
gemma,gen_1,p01991 namo cut,0
gemma,gen_1,p02033 arrow,0
gemma,gen_1,p02042 absum,0
gemma,gen_1,p02110 settler,0
gemma,gen_1,p02117 picnic,0
gemma,gen_1,p02120 cluster network,0
gemma,gen_1,p02157 shuffle 2,0
gemma,gen_1,p02185 many decimal integers,0
gemma,gen_1,p02211 apple adventure,0
gemma,gen_1,p02216 array game,0
gemma,gen_1,p02257 prime numbers,0
gemma,gen_1,p02278 minimum cost sort,0
gemma,gen_1,p02365 minimum cost arborescence,0
gemma,gen_1,p02408 finding missing cards,0
gemma,gen_1,p02425 bit flag,0
gemma,gen_1,p02539 acl beginner contest heights and pairs,0
gemma,gen_1,p02574 atcoder beginner contest 177 coprime,0
gemma,gen_1,p02610 aising programming contest 2020 camel train,0
gemma,gen_1,p02630 atcoder beginner contest 171 replacing,0
gemma,gen_1,p02668 nomura programming competition 2020 sorting game,0
gemma,gen_1,p02744 panasonic programming contest 2020 string equivalence,0
gemma,gen_1,p02761 atcoder beginner contest 157 guess the number,0
gemma,gen_1,p02781 atcoder beginner contest 154 almost everywhere zero,0
gemma,gen_1,p02838 atcoder beginner contest 147 xor sum 4,0
gemma,gen_1,p02868 nikkei programming contest 2019 2 shortest path on a line,0
gemma,gen_1,p02876 atcoder grand contest 040 balance beam,0
gemma,gen_1,p02943 atcoder grand contest 037 reversing and concatenating,0
gemma,gen_1,p03010 diverta 2019 programming contest 2 diverta city,0
gemma,gen_1,p03013 atcoder beginner contest 129 typical stairs,0
gemma,gen_1,p03031 atcoder beginner contest 128 switches,0
gemma,gen_1,p03072 atcoder beginner contest 124 great ocean view,0
gemma,gen_1,p03107 atcoder beginner contest 120 unification,0
gemma,gen_1,p03111 atcoder beginner contest 119 synthetic kadomatsu,0
gemma,gen_1,p03143 nikkei programming contest 2019 weights on vertices and edges,0
gemma,gen_1,p03153 keyence programming contest 2019 connecting cities,0
gemma,gen_1,p03194 caddi 2018 for beginners product and gcd,0
gemma,gen_1,p03214 dwango programming contest v thumbnail,0
gemma,gen_1,p03258 atcoder grand contest 027 abbreviate,0
gemma,gen_1,p03294 atcoder beginner contest 103 modulo summation,0
gemma,gen_1,p03297 atcoder grand contest 026 rng 10s,0
gemma,gen_1,p03343 atcoder regular contest 098 range minimum queries,0
gemma,gen_1,p03474 atcoder beginner contest 084 postal code,0
gemma,gen_1,p03503 atcoder beginner contest 080 shopping street,0
gemma,gen_1,p03519 code festival 2017 elimination tournament round 1 parallel paired parentheses,0
gemma,gen_1,p03684 atcoder regular contest 076 built,0
gemma,gen_1,p03694 atcoder beginner contest 064 traveling atcodeer problem,0
gemma,gen_1,p03794 mujin programming challenge 2017 oriented tree,0
gemma,gen_1,p03837 atcoder beginner contest 051 candidates of no shortest paths,0
gemma,gen_1,p03839 atcoder grand contest 008 contiguous repainting,0
gemma,gen_1,p03849 atcoder regular contest 066 xor sum,0
gemma,gen_1,p03932 square869120contest 3 souvenirs,0
gemma,gen_1,p03963 atcoder beginner contest 046 painting balls with atcodeer,0
gemma,gen_1,p04006 atcoder grand contest 004 colorful slimes,0
gemma,gen_1,p04052 atcoder grand contest 001 wide swap,0
gemma,gen_2,1000 c covered points count,0
gemma,gen_2,1003 d coins and queries,0
gemma,gen_2,1011 a stages,0
gemma,gen_2,1016 c vasya and the mushrooms,0
gemma,gen_2,1025 b weakened common divisor,0
gemma,gen_2,1030 e vasya and good sequences,0
gemma,gen_2,1036 b diagonal walking v 2,0
gemma,gen_2,1037 b reach median,0
gemma,gen_2,1037 e trips,0
gemma,gen_2,1043 a elections,0
gemma,gen_2,1045 d interstellar battle,0
gemma,gen_2,1046 d interstellar battle,0
gemma,gen_2,1062 d fun with integers,0
gemma,gen_2,1065 f up and down the tree,0
gemma,gen_2,1068 d array without local maximums,0
gemma,gen_2,1070 c cloud computing,0
gemma,gen_2,1075 d intersecting subtrees,0
gemma,gen_2,1081 d maximum distance,0
gemma,gen_2,1084 c the fair nut and string,0
gemma,gen_2,1088 d ehab and another another xor problem,0
gemma,gen_2,1090 c new year presents,0
gemma,gen_2,1097 b petr and a combination lock,0
gemma,gen_2,110 b lucky string,0
gemma,gen_2,1100 d dasha and chess,0
gemma,gen_2,1109 f sasha and algorithm of silence s sounds,0
gemma,gen_2,1110 e magic stones,0
gemma,gen_2,1117 f crisp string,0
gemma,gen_2,1121 a technogoblet of fire,0
gemma,gen_2,1129 a2 toy train,0
gemma,gen_2,1131 e string multiplication,0
gemma,gen_2,1136 d nastya is buying lunch,0
gemma,gen_2,1139 c edgy trees,0
gemma,gen_2,1144 b parity alternated deletions,0
gemma,gen_2,1144 f graph without long directed paths,0
gemma,gen_2,1148 c crazy diamond,0
gemma,gen_2,1149 b three religions,0
gemma,gen_2,1149 e election promises,0
gemma,gen_2,1158 f density of subarrays,0
gemma,gen_2,1165 a remainder,0
gemma,gen_2,1169 e and reachability,0
gemma,gen_2,1184 d1 parallel universes easy,0
gemma,gen_2,1187 g gang up,0
gemma,gen_2,1189 d1 add on a tree,0
gemma,gen_2,1191 c tokitsukaze and discard items,0
gemma,gen_2,1195 d2 submarine in the rybinsk sea hard edition,0
gemma,gen_2,1198 a mp3,0
gemma,gen_2,12 b correct solution,0
gemma,gen_2,120 c winnie the pooh and honey,0
gemma,gen_2,1202 c you are given a wasd string,0
gemma,gen_2,1203 a circle of students,0
gemma,gen_2,1208 a xorinacci,0
gemma,gen_2,1208 d restore permutation,0
gemma,gen_2,121 c lucky permutation,0
gemma,gen_2,1214 h tiles placement,0
gemma,gen_2,1225 b1 tv subscriptions easy version,0
gemma,gen_2,1227 a math problem,0
gemma,gen_2,1227 d1 optimal subsequences easy version,0
gemma,gen_2,1236 a stones,0
gemma,gen_2,1238 b kill em all,0
gemma,gen_2,124 d squares,0
gemma,gen_2,1249 d1 too many segments easy version,0
gemma,gen_2,1251 e1 voting easy version,0
gemma,gen_2,1253 f cheap robot,0
gemma,gen_2,1256 c platforms jumping,0
gemma,gen_2,1256 e yet another division into teams,0
gemma,gen_2,1257 g divisor set,0
gemma,gen_2,1264 a beautiful regional contest,0
gemma,gen_2,1267 l lexicography,0
gemma,gen_2,1269 e k integers,0
gemma,gen_2,1286 a garland,0
gemma,gen_2,1290 a mind control,0
gemma,gen_2,1291 e prefix enlightenment,0
gemma,gen_2,1304 e 1 trees and queries,0
gemma,gen_2,1305 b kuroni and simple strings,0
gemma,gen_2,1315 d recommendations,0
gemma,gen_2,1323 d present,0
gemma,gen_2,1323 f reality show,0
gemma,gen_2,1328 f make k equal,0
gemma,gen_2,1329 d dreamoon likes strings,0
gemma,gen_2,133 d piet,0
gemma,gen_2,1332 g no monotone triples,0
gemma,gen_2,1334 d minimum euler cycle,0
gemma,gen_2,1336 f journey,0
gemma,gen_2,1348 f phoenix and memory,0
gemma,gen_2,1349 d slime and biscuits,0
gemma,gen_2,1353 c board moves,0
gemma,gen_2,1354 f summoning minions,0
gemma,gen_2,1359 d yet another yet another task,0
gemma,gen_2,1364 e x or,0
gemma,gen_2,1366 a shovels and swords,0
gemma,gen_2,1369 d tediouslee,0
gemma,gen_2,1379 f1 chess strikes back easy version,0
gemma,gen_2,1384 d gamegame,0
gemma,gen_2,1384 f rearrange,0
gemma,gen_2,139 d digits permutations,0
gemma,gen_2,1398 a bad triangle,0
gemma,gen_2,1408 a circle coloring,0
gemma,gen_2,1413 f roads and ramen,0
gemma,gen_2,1416 d graph and queries,0
gemma,gen_2,1420 d rescue nibel,0
gemma,gen_2,1423 h virus,0
gemma,gen_2,1424 n bubblesquare tokens,0
gemma,gen_2,1428 d bouncing boomerangs,0
gemma,gen_2,1450 b balls of steel,0
gemma,gen_2,1450 d rating compression,0
gemma,gen_2,1455 f string and operations,1
gemma,gen_2,1458 b glass half spilled,0
gemma,gen_2,1466 f euclid s nightmare,0
gemma,gen_2,1468 j road reform,0
gemma,gen_2,147 b smile house,0
gemma,gen_2,1473 g tiles,0
gemma,gen_2,1474 b different divisors,0
gemma,gen_2,148 b escape,0
gemma,gen_2,1493 c k beautiful strings,0
gemma,gen_2,1513 c add one,0
gemma,gen_2,152 e garden,0
gemma,gen_2,1523 d love hate,0
gemma,gen_2,1534 d lost tree,0
gemma,gen_2,1539 d pricefixed,0
gemma,gen_2,1543 b customising the track,0
gemma,gen_2,155 a i love username,0
gemma,gen_2,155 c hometask,0
gemma,gen_2,157 a game outcome,0
gemma,gen_2,167 c wizards and numbers,0
gemma,gen_2,177 c1 party,0
gemma,gen_2,19 b checkout assistant,0
gemma,gen_2,204 d little elephant and retro strings,0
gemma,gen_2,207 d9 the beaver s problem 3,0
gemma,gen_2,219 a k string,0
gemma,gen_2,242 c king s path,0
gemma,gen_2,248 a cupboards,0
gemma,gen_2,25 d roads not only in berland,0
gemma,gen_2,260 b ancient prophesy,0
gemma,gen_2,270 b multithreading,0
gemma,gen_2,272 b dima and sequence,0
gemma,gen_2,277 c game,0
gemma,gen_2,278 b new problem,0
gemma,gen_2,29 e quarrel,0
gemma,gen_2,294 a shaass and oskols,0
gemma,gen_2,300 a array,0
gemma,gen_2,316 b2 ekg,0
gemma,gen_2,319 b psychos in a line,0
gemma,gen_2,323 c two permutations,0
gemma,gen_2,325 d reclamation,0
gemma,gen_2,331 a2 oh sweet beaverette,0
gemma,gen_2,341 b bubble sort graph,0
gemma,gen_2,343 b alternating current,0
gemma,gen_2,348 e pilgrims,0
gemma,gen_2,352 e jeff and brackets,0
gemma,gen_2,354 e lucky number representation,0
gemma,gen_2,358 b dima and text messages,0
gemma,gen_2,361 c levko and array recovery,0
gemma,gen_2,364 d ghd,0
gemma,gen_2,365 a good number,0
gemma,gen_2,366 d dima and trap graph,0
gemma,gen_2,38 c blinds,0
gemma,gen_2,388 c fox and card game,0
gemma,gen_2,415 e mashmokh and reverse operation,0
gemma,gen_2,42 a guilty to the kitchen,0
gemma,gen_2,421 d bug in code,0
gemma,gen_2,436 d pudding monsters,0
gemma,gen_2,438 a the child and toy,0
gemma,gen_2,442 c artem and array,0
gemma,gen_2,443 b kolya and tandem repeat,0
gemma,gen_2,448 b suffix structures,0
gemma,gen_2,449 d jzzhu and numbers,0
gemma,gen_2,45 h road problem,0
gemma,gen_2,459 e pashmak and graph,0
gemma,gen_2,46 c hamsters and tigers,0
gemma,gen_2,465 c no to palindromes,0
gemma,gen_2,480 b long jumps,0
gemma,gen_2,5 a chat server s outgoing traffic,0
gemma,gen_2,500 c new year book reading,0
gemma,gen_2,505 b mr kitayuta s colorful graph,0
gemma,gen_2,516 c drazil and park,0
gemma,gen_2,519 b a and b and compilation errors,0
gemma,gen_2,521 c pluses everywhere,0
gemma,gen_2,526 a king of thieves,0
gemma,gen_2,529 c rooks and rectangles,0
gemma,gen_2,548 e mike and foam,0
gemma,gen_2,551 b zgukistringz,0
gemma,gen_2,554 c kyoya and colored balls,0
gemma,gen_2,556 c case of matryoshkas,0
gemma,gen_2,56 e domino principle,0
gemma,gen_2,566 c logistical questions,0
gemma,gen_2,571 e geometric progressions,0
gemma,gen_2,578 c weakness and poorness,0
gemma,gen_2,586 f lizard era beginning,0
gemma,gen_2,587 d duff in mafia,0
gemma,gen_2,602 c the two routes,0
gemma,gen_2,604 a uncowed forces,0
gemma,gen_2,609 b the best gift,0
gemma,gen_2,614 c peter and snow blower,0
gemma,gen_2,615 a bulbs,0
gemma,gen_2,618 b guess the permutation,0
gemma,gen_2,621 d rat kwesh and cheese,0
gemma,gen_2,624 d array gcd,0
gemma,gen_2,633 h fibonacci ish ii,0
gemma,gen_2,643 b bear and two paths,0
gemma,gen_2,650 b image preview,0
gemma,gen_2,662 c binary table,0
gemma,gen_2,666 b world tour,0
gemma,gen_2,67 e save the city,0
gemma,gen_2,673 c bear and colors,0
gemma,gen_2,685 d kay and eternity,0
gemma,gen_2,687 a np hard problem,0
gemma,gen_2,687 d dividing kingdom ii,0
gemma,gen_2,698 d limak and shooting points,0
gemma,gen_2,7 b memory manager,0
gemma,gen_2,703 c chris and road,0
gemma,gen_2,708 c centroids,0
gemma,gen_2,709 e centroids,0
gemma,gen_2,712 d memory and scores,0
gemma,gen_2,716 d complete the graph,0
gemma,gen_2,719 b anatoly and cockroaches,0
gemma,gen_2,719 e sasha and array,0
gemma,gen_2,730 g car repair shop,0
gemma,gen_2,730 j bottles,0
gemma,gen_2,737 a road to cinema,0
gemma,gen_2,747 c servers,0
gemma,gen_2,754 b ilya and tic tac toe game,0
gemma,gen_2,757 d felicity s big secret revealed,0
gemma,gen_2,76 b mice,0
gemma,gen_2,76 f tourist,0
gemma,gen_2,760 f bacterial melee,0
gemma,gen_2,764 a taymyr is calling you,0
gemma,gen_2,776 a a serial killer,0
gemma,gen_2,789 a anastasia and pebbles,0
gemma,gen_2,79 d password,0
gemma,gen_2,793 f julia the snail,0
gemma,gen_2,799 d field expansion,0
gemma,gen_2,808 g anthem of berland,0
gemma,gen_2,815 b karen and test,0
gemma,gen_2,825 e minimal labels,0
gemma,gen_2,83 c track,0
gemma,gen_2,833 a the meaningless game,0
gemma,gen_2,846 b math show,0
gemma,gen_2,846 e chemistry in berland,0
gemma,gen_2,848 c goodbye souvenir,0
gemma,gen_2,860 c tests renumeration,0
gemma,gen_2,865 d buy low sell high,0
gemma,gen_2,867 d gotta go fast,0
gemma,gen_2,87 b vasya and types,0
gemma,gen_2,870 a search for pretty integers,0
gemma,gen_2,875 d high cry,0
gemma,gen_2,878 d magic breeding,0
gemma,gen_2,893 a chess for three,0
gemma,gen_2,896 e welcome home chtholly,0
gemma,gen_2,9 e interesting graph and apples,0
gemma,gen_2,901 d weighting a tree,0
gemma,gen_2,903 d almost difference,0
gemma,gen_2,909 d colorful points,0
gemma,gen_2,915 a garden,0
gemma,gen_2,918 a eleven,0
gemma,gen_2,920 e connected components,0
gemma,gen_2,924 a mystical mosaic,0
gemma,gen_2,924 c riverside curio,0
gemma,gen_2,925 e may holidays,0
gemma,gen_2,936 a save energy,0
gemma,gen_2,958 e2 guard duty medium,0
gemma,gen_2,962 f simple cycles edges,0
gemma,gen_2,979 e kuro and topological parity,0
gemma,gen_2,980 e the number games,0
gemma,gen_2,985 a chess placing,0
gemma,gen_2,99 b help chef gerasim,0
gemma,gen_2,999 f cards and joy,0
gemma,gen_2,p00025 hit and blow,0
gemma,gen_2,p00074 videotape,0
gemma,gen_2,p00156 moats around the castle,0
gemma,gen_2,p00167 bubble sort,0
gemma,gen_2,p00224 bicycle diet,0
gemma,gen_2,p00313 secret investigation,0
gemma,gen_2,p00386 gathering,0
gemma,gen_2,p00395 maze and items,0
gemma,gen_2,p00447 searching constellation,0
gemma,gen_2,p00573 commuter pass,0
gemma,gen_2,p00676 knd is so sexy,0
gemma,gen_2,p00748 pollock s conjecture,0
gemma,gen_2,p00786 but we need a diagram,0
gemma,gen_2,p00812 equals are equals,0
gemma,gen_2,p00819 unreliable message,0
gemma,gen_2,p00822 weather forecast,0
gemma,gen_2,p00860 the morning after halloween,0
gemma,gen_2,p00886 towns along a highway,0
gemma,gen_2,p00918 dragon s cruller,0
gemma,gen_2,p00943 routing a marathon race,0
gemma,gen_2,p01051 squid ink,0
gemma,gen_2,p01076 graph making,0
gemma,gen_2,p01083 redblue,0
gemma,gen_2,p01086 short phrase,0
gemma,gen_2,p01179 cousin s aunt,0
gemma,gen_2,p01210 speed,0
gemma,gen_2,p01219 private teacher,0
gemma,gen_2,p01262 adaptive time slicing quantization,0
gemma,gen_2,p01280 galaxy wide web service,0
gemma,gen_2,p01346 ropeway,0
gemma,gen_2,p01353 rabbit plays games,0
gemma,gen_2,p01458 kth sentence,0
gemma,gen_2,p01484 icy composer,0
gemma,gen_2,p01488 transfertrain,0
gemma,gen_2,p01535 markup language has declined,0
gemma,gen_2,p01576 exciting bicycle,0
