model,generation,instruction_id,error_id,severity,cwe,cwe_category
human,soln1,235,shadowVariable,style,398.0,Other
human,soln1,138,postfixOperator,performance,398.0,Other
human,soln1,138,postfixOperator,performance,398.0,Other
human,soln1,138,postfixOperator,performance,398.0,Other
human,soln1,138,postfixOperator,performance,398.0,Other
human,soln1,57,invalidscanf,warning,119.0,Memory Safety
human,soln1,100,ignoredReturnValue,warning,252.0,API / Library Misuse
human,soln1,100,ignoredReturnValue,warning,252.0,API / Library Misuse
human,soln1,100,noExplicitConstructor,style,398.0,Other
human,soln1,100,selfAssignment,style,398.0,Other
human,soln1,100,selfAssignment,style,398.0,Other
human,soln1,100,shadowVariable,style,398.0,Other
human,soln1,100,passedByValue,performance,398.0,Other
human,soln1,100,passedByValue,performance,398.0,Other
human,soln1,100,constVariablePointer,style,398.0,Other
human,soln1,49,shadowVariable,style,398.0,Other
human,soln1,49,constVariablePointer,style,398.0,Other
human,soln1,0,shadowVariable,style,398.0,Other
human,soln1,0,useStlAlgorithm,style,398.0,Other
human,soln1,260,useStlAlgorithm,style,398.0,Other
human,soln1,98,constVariablePointer,style,398.0,Other
human,soln1,19,knownConditionTrueFalse,style,571.0,Logic / Undefined Behavior
human,soln1,156,invalidscanf,warning,119.0,Memory Safety
human,soln1,156,unreadVariable,style,563.0,Other
human,soln1,156,unreadVariable,style,563.0,Other
human,soln1,75,useStlAlgorithm,style,398.0,Other
human,soln1,140,constVariableReference,style,398.0,Other
human,soln1,175,variableScope,style,398.0,Other
human,soln1,175,constStatement,warning,398.0,Other
human,soln1,175,passedByValue,performance,398.0,Other
human,soln1,175,passedByValue,performance,398.0,Other
human,soln1,2,useStlAlgorithm,style,398.0,Other
human,soln1,224,shadowVariable,style,398.0,Other
human,soln1,224,shadowVariable,style,398.0,Other
human,soln1,248,noExplicitConstructor,style,398.0,Other
human,soln1,213,constParameterReference,style,398.0,Other
human,soln1,136,shadowVariable,style,398.0,Other
human,soln1,15,useStlAlgorithm,style,398.0,Other
human,soln1,139,incompleteArrayFill,portability,131.0,Other
human,soln1,117,variableScope,style,398.0,Other
human,soln1,117,variableScope,style,398.0,Other
human,soln1,117,variableScope,style,398.0,Other
human,soln1,214,uninitMemberVar,warning,398.0,Other
human,soln1,214,uninitMemberVar,warning,398.0,Other
human,soln1,214,postfixOperator,performance,398.0,Other
human,soln1,214,postfixOperator,performance,398.0,Other
human,soln1,124,unreadVariable,style,563.0,Other
human,soln1,246,functionConst,style,398.0,Other
human,soln1,246,noExplicitConstructor,style,398.0,Other
human,soln1,246,invalidscanf,warning,119.0,Memory Safety
human,soln1,246,shadowVariable,style,398.0,Other
human,soln1,182,arrayIndexThenCheck,style,398.0,Other
human,soln1,182,invalidPrintfArgType_sint,warning,686.0,Other
human,soln1,182,invalidscanf,warning,119.0,Memory Safety
human,soln1,227,constVariable,style,398.0,Other
human,soln1,3,uninitMemberVar,warning,398.0,Other
human,soln1,3,uninitMemberVar,warning,398.0,Other
human,soln1,3,constVariablePointer,style,398.0,Other
human,soln1,3,constVariablePointer,style,398.0,Other
human,soln1,3,constVariablePointer,style,398.0,Other
human,soln1,47,knownConditionTrueFalse,style,570.0,Other
human,soln1,255,redundantAssignment,style,563.0,Other
human,soln1,253,unreadVariable,style,563.0,Other
human,soln1,253,unreadVariable,style,563.0,Other
human,soln1,5,variableScope,style,398.0,Other
human,soln1,38,functionConst,style,398.0,Other
human,soln1,38,noExplicitConstructor,style,398.0,Other
human,soln1,38,shadowVariable,style,398.0,Other
human,soln1,38,shadowVariable,style,398.0,Other
human,soln1,38,unreadVariable,style,563.0,Other
human,soln1,38,unreadVariable,style,563.0,Other
human,soln1,70,functionConst,style,398.0,Other
human,soln1,70,noExplicitConstructor,style,398.0,Other
human,soln1,70,noExplicitConstructor,style,398.0,Other
human,soln1,70,constParameterReference,style,398.0,Other
human,soln1,70,constParameterReference,style,398.0,Other
human,soln1,70,unreadVariable,style,563.0,Other
human,soln1,257,knownConditionTrueFalse,style,571.0,Logic / Undefined Behavior
human,soln1,257,zerodiv,error,369.0,Logic / Undefined Behavior
human,soln1,257,zerodiv,error,369.0,Logic / Undefined Behavior
human,soln1,14,memsetValueOutOfRange,warning,686.0,Other
human,soln1,14,memsetValueOutOfRange,warning,686.0,Other
human,soln1,14,incompleteArrayFill,portability,131.0,Other
human,soln1,95,incompleteArrayFill,portability,131.0,Other
human,soln1,95,incompleteArrayFill,portability,131.0,Other
human,soln1,95,uninitvar,warning,457.0,Null / Initialization
human,soln1,127,unusedVariable,style,563.0,Other
human,soln1,109,noExplicitConstructor,style,398.0,Other
human,soln1,109,noExplicitConstructor,style,398.0,Other
human,soln1,109,noExplicitConstructor,style,398.0,Other
human,soln1,109,noExplicitConstructor,style,398.0,Other
human,soln1,109,invalidscanf,warning,119.0,Memory Safety
human,soln1,109,variableScope,style,398.0,Other
human,soln1,109,shadowVariable,style,398.0,Other
human,soln1,109,shadowVariable,style,398.0,Other
human,soln1,109,passedByValue,performance,398.0,Other
human,soln1,109,passedByValue,performance,398.0,Other
human,soln1,109,passedByValue,performance,398.0,Other
human,soln1,109,passedByValue,performance,398.0,Other
human,soln1,109,passedByValue,performance,398.0,Other
human,soln1,109,passedByValue,performance,398.0,Other
human,soln1,8,arrayIndexOutOfBoundsCond,warning,788.0,Other
human,soln1,8,functionConst,style,398.0,Other
human,soln1,8,knownConditionTrueFalse,style,571.0,Logic / Undefined Behavior
human,soln1,8,variableScope,style,398.0,Other
human,soln1,8,variableScope,style,398.0,Other
human,soln1,8,uninitvar,warning,457.0,Null / Initialization
human,soln1,8,unusedVariable,style,563.0,Other
human,soln1,146,variableScope,style,398.0,Other
human,soln1,56,unusedVariable,style,563.0,Other
human,soln1,56,unusedVariable,style,563.0,Other
human,soln1,56,unusedVariable,style,563.0,Other
human,soln1,67,uninitMemberVar,warning,398.0,Other
human,soln1,67,uninitMemberVar,warning,398.0,Other
human,soln1,4,variableScope,style,398.0,Other
human,soln1,4,variableScope,style,398.0,Other
human,soln1,28,getsCalled,warning,477.0,Other
human,soln1,28,getsCalled,warning,477.0,Other
human,soln1,11,invalidscanf,warning,119.0,Memory Safety
human,soln1,208,uninitMemberVar,warning,398.0,Other
human,soln1,208,uninitMemberVar,warning,398.0,Other
human,soln1,237,variableScope,style,398.0,Other
human,soln1,237,variableScope,style,398.0,Other
human,soln1,237,variableScope,style,398.0,Other
human,soln1,37,unusedVariable,style,563.0,Other
human,soln1,37,unusedVariable,style,563.0,Other
human,soln1,21,noExplicitConstructor,style,398.0,Other
human,soln1,21,shadowVariable,style,398.0,Other
human,soln1,21,useStlAlgorithm,style,398.0,Other
human,soln1,188,unreadVariable,style,563.0,Other
human,soln1,188,unreadVariable,style,563.0,Other
human,soln1,188,unreadVariable,style,563.0,Other
human,soln1,188,unreadVariable,style,563.0,Other
human,soln1,122,noExplicitConstructor,style,398.0,Other
human,soln1,122,passedByValue,performance,398.0,Other
human,soln1,122,constParameterReference,style,398.0,Other
human,soln1,122,constParameterReference,style,398.0,Other
human,soln1,122,constParameterReference,style,398.0,Other
human,soln1,80,passedByValue,performance,398.0,Other
human,soln1,80,passedByValue,performance,398.0,Other
human,soln1,80,passedByValue,performance,398.0,Other
human,soln1,48,useStlAlgorithm,style,398.0,Other
human,soln1,79,cstyleCast,style,398.0,Other
human,soln1,79,cstyleCast,style,398.0,Other
human,soln1,79,unreadVariable,style,563.0,Other
human,soln1,79,unreadVariable,style,563.0,Other
human,soln1,269,constParameter,style,398.0,Other
human,soln1,137,missingReturn,error,758.0,Logic / Undefined Behavior
human,soln1,137,invalidscanf,warning,119.0,Memory Safety
human,soln1,263,shadowVariable,style,398.0,Other
human,soln1,61,uninitvar,warning,457.0,Null / Initialization
human,soln1,120,shadowVariable,style,398.0,Other
human,soln1,107,unreadVariable,style,563.0,Other
human,soln1,107,unreadVariable,style,563.0,Other
human,soln1,206,invalidscanf,warning,119.0,Memory Safety
human,soln1,256,shadowVariable,style,398.0,Other
human,soln1,256,uninitvar,warning,457.0,Null / Initialization
human,soln1,256,uninitvar,warning,457.0,Null / Initialization
human,soln1,256,unusedStructMember,style,563.0,Other
human,soln1,256,unusedStructMember,style,563.0,Other
human,soln1,256,unusedStructMember,style,563.0,Other
human,soln1,10,shadowVariable,style,398.0,Other
human,soln1,10,passedByValue,performance,398.0,Other
human,soln1,10,passedByValue,performance,398.0,Other
human,soln1,10,constParameterPointer,style,398.0,Other
human,soln1,85,useStlAlgorithm,style,398.0,Other
human,soln1,90,unusedVariable,style,563.0,Other
human,soln1,97,useStlAlgorithm,style,398.0,Other
human,soln1,267,invalidScanfArgType_int,warning,686.0,Other
human,soln1,267,invalidScanfArgType_int,warning,686.0,Other
human,soln1,147,ignoredReturnValue,warning,252.0,API / Library Misuse
human,soln1,147,passedByValue,performance,398.0,Other
human,soln1,147,passedByValue,performance,398.0,Other
human,soln1,147,passedByValue,performance,398.0,Other
human,soln1,147,passedByValue,performance,398.0,Other
human,soln1,147,useStlAlgorithm,style,398.0,Other
human,soln1,237,uninitMemberVar,warning,398.0,Other
human,soln1,237,uninitMemberVar,warning,398.0,Other
human,soln1,237,functionStatic,style,398.0,Other
human,soln1,237,noExplicitConstructor,style,398.0,Other
human,soln1,237,variableScope,style,398.0,Other
human,soln1,237,variableScope,style,398.0,Other
human,soln1,237,variableScope,style,398.0,Other
human,soln1,237,shadowVariable,style,398.0,Other
human,soln1,237,unusedStructMember,style,563.0,Other
human,soln1,237,unusedStructMember,style,563.0,Other
human,soln1,237,unusedStructMember,style,563.0,Other
human,soln1,269,uninitvar,warning,457.0,Null / Initialization
human,soln1,132,unreadVariable,style,563.0,Other
human,soln1,132,unreadVariable,style,563.0,Other
human,soln1,225,getsCalled,warning,477.0,Other
human,soln1,225,getsCalled,warning,477.0,Other
human,soln1,115,uninitMemberVar,warning,398.0,Other
human,soln1,115,uninitMemberVar,warning,398.0,Other
human,soln1,115,uninitMemberVar,warning,398.0,Other
human,soln1,115,shadowVariable,style,398.0,Other
human,soln1,115,shadowVariable,style,398.0,Other
human,soln1,115,shadowVariable,style,398.0,Other
human,soln1,235,iterateByValue,performance,398.0,Other
human,soln1,235,unreadVariable,style,563.0,Other
human,soln1,235,unreadVariable,style,563.0,Other
human,soln1,235,unreadVariable,style,563.0,Other
human,soln1,235,unreadVariable,style,563.0,Other
human,soln1,235,unreadVariable,style,563.0,Other
human,soln1,235,unreadVariable,style,563.0,Other
human,soln1,235,unreadVariable,style,563.0,Other
human,soln1,235,unreadVariable,style,563.0,Other
human,soln1,231,invalidscanf,warning,119.0,Memory Safety
human,soln1,231,unusedVariable,style,563.0,Other
human,soln1,231,unusedVariable,style,563.0,Other
human,soln1,69,variableScope,style,398.0,Other
human,soln1,184,shadowVariable,style,398.0,Other
human,soln1,184,constVariable,style,398.0,Other
human,soln1,184,constVariable,style,398.0,Other
human,soln1,276,useStlAlgorithm,style,398.0,Other
human,soln1,162,constVariableReference,style,398.0,Other
human,soln1,87,functionConst,style,398.0,Other
human,soln1,87,functionConst,style,398.0,Other
human,soln1,87,functionStatic,style,398.0,Other
human,soln1,38,unreadVariable,style,563.0,Other
human,soln1,38,unreadVariable,style,563.0,Other
human,soln1,161,duplicateCondition,style,398.0,Other
human,soln1,248,shadowVariable,style,398.0,Other
human,soln1,62,unusedVariable,style,563.0,Other
human,soln1,62,unusedVariable,style,563.0,Other
human,soln1,75,useStlAlgorithm,style,398.0,Other
human,soln1,148,unusedVariable,style,563.0,Other
human,soln1,256,unusedVariable,style,563.0,Other
human,soln1,27,invalidscanf,warning,119.0,Memory Safety
human,soln1,27,invalidscanf,warning,119.0,Memory Safety
human,soln1,233,useStlAlgorithm,style,398.0,Other
human,soln1,233,useStlAlgorithm,style,398.0,Other
human,soln1,16,shadowVariable,style,398.0,Other
human,soln1,16,constVariablePointer,style,398.0,Other
human,soln1,265,assertWithSideEffect,warning,398.0,Other
human,soln1,265,leakNoVarFunctionCall,error,772.0,Other
human,soln1,265,leakNoVarFunctionCall,error,772.0,Other
human,soln1,265,variableScope,style,398.0,Other
human,soln1,100,invalidscanf,warning,119.0,Memory Safety
human,soln1,158,shadowVariable,style,398.0,Other
human,soln1,158,shadowVariable,style,398.0,Other
human,soln1,158,unusedVariable,style,563.0,Other
human,soln1,6,uninitMemberVar,warning,398.0,Other
human,soln1,6,uninitMemberVar,warning,398.0,Other
human,soln1,242,uninitMemberVar,warning,398.0,Other
human,soln1,242,uninitMemberVar,warning,398.0,Other
human,soln1,242,functionConst,style,398.0,Other
human,soln1,242,functionConst,style,398.0,Other
human,soln1,242,duplicateAssignExpression,style,398.0,Other
human,soln1,242,constParameterPointer,style,398.0,Other
human,soln1,242,postfixOperator,performance,398.0,Other
human,soln1,242,postfixOperator,performance,398.0,Other
human,soln1,121,noCopyConstructor,warning,398.0,Other
human,soln1,121,noOperatorEq,warning,398.0,Other
human,soln1,121,noExplicitConstructor,style,398.0,Other
human,soln1,121,funcArgNamesDifferent,style,628.0,Other
human,soln1,249,knownConditionTrueFalse,style,570.0,Other
human,soln1,249,passedByValue,performance,398.0,Other
human,soln1,64,incrementboolean,style,398.0,Other
human,soln1,129,shadowVariable,style,398.0,Other
human,soln1,129,shadowVariable,style,398.0,Other
human,soln1,26,shadowVariable,style,398.0,Other
human,soln1,251,selfAssignment,style,398.0,Other
human,soln1,82,ignoredReturnValue,warning,252.0,API / Library Misuse
human,soln1,82,ignoredReturnValue,warning,252.0,API / Library Misuse
human,soln1,82,leakNoVarFunctionCall,error,772.0,Other
human,soln1,66,shadowVariable,style,398.0,Other
human,soln1,66,shadowVariable,style,398.0,Other
human,soln1,66,shadowVariable,style,398.0,Other
human,soln1,66,shadowVariable,style,398.0,Other
human,soln1,66,useStlAlgorithm,style,398.0,Other
human,soln1,66,unusedStructMember,style,563.0,Other
human,soln1,66,unusedStructMember,style,563.0,Other
human,soln1,66,unusedStructMember,style,563.0,Other
human,soln1,66,unusedStructMember,style,563.0,Other
human,soln1,66,unusedStructMember,style,563.0,Other
human,soln1,66,unusedStructMember,style,563.0,Other
human,soln1,66,unusedStructMember,style,563.0,Other
human,soln1,66,unusedStructMember,style,563.0,Other
human,soln1,66,unusedStructMember,style,563.0,Other
human,soln1,201,functionConst,style,398.0,Other
human,soln1,201,functionConst,style,398.0,Other
human,soln1,201,functionConst,style,398.0,Other
human,soln1,201,functionConst,style,398.0,Other
human,soln1,201,functionConst,style,398.0,Other
human,soln1,201,functionConst,style,398.0,Other
human,soln1,201,functionConst,style,398.0,Other
human,soln1,201,noExplicitConstructor,style,398.0,Other
human,soln1,201,variableScope,style,398.0,Other
human,soln1,201,variableScope,style,398.0,Other
human,soln1,201,variableScope,style,398.0,Other
human,soln1,201,variableScope,style,398.0,Other
human,soln1,201,passedByValue,performance,398.0,Other
human,soln1,201,passedByValue,performance,398.0,Other
human,soln1,201,passedByValue,performance,398.0,Other
human,soln1,201,passedByValue,performance,398.0,Other
human,soln1,201,passedByValue,performance,398.0,Other
human,soln1,201,passedByValue,performance,398.0,Other
human,soln1,201,passedByValue,performance,398.0,Other
human,soln1,201,constParameterReference,style,398.0,Other
human,soln1,201,constParameterReference,style,398.0,Other
human,soln1,201,constParameterReference,style,398.0,Other
human,soln1,201,constParameterReference,style,398.0,Other
human,soln1,201,constParameterReference,style,398.0,Other
human,soln1,201,constParameterReference,style,398.0,Other
human,soln1,201,constParameterReference,style,398.0,Other
human,soln1,201,constVariableReference,style,398.0,Other
human,soln1,201,constVariableReference,style,398.0,Other
human,soln1,201,constVariableReference,style,398.0,Other
human,soln1,145,invalidscanf,warning,119.0,Memory Safety
human,soln1,145,variableScope,style,398.0,Other
human,soln1,145,variableScope,style,398.0,Other
human,soln1,145,variableScope,style,398.0,Other
human,soln1,145,variableScope,style,398.0,Other
human,soln1,77,passedByValueCallback,performance,398.0,Other
human,soln1,77,passedByValueCallback,performance,398.0,Other
human,soln1,89,uninitMemberVar,warning,398.0,Other
human,soln1,89,noExplicitConstructor,style,398.0,Other
human,soln1,89,passedByValue,performance,398.0,Other
human,soln1,89,passedByValue,performance,398.0,Other
human,soln1,89,useStlAlgorithm,style,398.0,Other
human,soln1,89,unreadVariable,style,563.0,Other
human,soln1,140,useStlAlgorithm,style,398.0,Other
human,soln1,114,internalAstError,error,,Other
human,soln1,259,unreadVariable,style,563.0,Other
human,soln1,23,useStlAlgorithm,style,398.0,Other
human,soln1,258,constVariableReference,style,398.0,Other
human,soln1,25,useStlAlgorithm,style,398.0,Other
human,soln1,13,useStlAlgorithm,style,398.0,Other
human,soln1,261,variableScope,style,398.0,Other
human,soln1,44,shadowVariable,style,398.0,Other
human,soln1,44,shadowVariable,style,398.0,Other
human,soln1,44,shadowVariable,style,398.0,Other
human,soln1,44,unusedVariable,style,563.0,Other
human,soln1,44,unusedVariable,style,563.0,Other
human,soln1,44,unusedVariable,style,563.0,Other
human,soln1,44,unusedVariable,style,563.0,Other
human,soln1,35,variableScope,style,398.0,Other
human,soln1,35,variableScope,style,398.0,Other
human,soln1,35,variableScope,style,398.0,Other
human,soln1,35,variableScope,style,398.0,Other
human,soln1,81,unreadVariable,style,563.0,Other
human,soln1,81,unreadVariable,style,563.0,Other
human,soln1,81,unreadVariable,style,563.0,Other
human,soln1,81,unreadVariable,style,563.0,Other
human,soln1,81,unreadVariable,style,563.0,Other
human,soln1,81,unusedVariable,style,563.0,Other
human,soln1,81,unusedVariable,style,563.0,Other
human,soln1,81,unusedVariable,style,563.0,Other
human,soln1,81,unreadVariable,style,563.0,Other
human,soln1,81,unreadVariable,style,563.0,Other
human,soln1,81,unreadVariable,style,563.0,Other
human,soln1,81,unreadVariable,style,563.0,Other
human,soln1,81,unreadVariable,style,563.0,Other
human,soln1,81,unusedVariable,style,563.0,Other
human,soln1,81,unusedVariable,style,563.0,Other
human,soln1,135,invalidscanf,warning,119.0,Memory Safety
human,soln1,151,getsCalled,warning,477.0,Other
human,soln1,151,variableScope,style,398.0,Other
human,soln1,101,clarifyCalculation,style,783.0,Other
human,soln1,174,shadowVariable,style,398.0,Other
human,soln1,174,shadowVariable,style,398.0,Other
human,soln1,7,arrayIndexThenCheck,style,398.0,Other
human,soln1,200,functionConst,style,398.0,Other
human,soln1,200,noExplicitConstructor,style,398.0,Other
human,soln1,93,useStlAlgorithm,style,398.0,Other
human,soln1,93,useStlAlgorithm,style,398.0,Other
human,soln1,119,functionConst,style,398.0,Other
human,soln1,119,shadowVariable,style,398.0,Other
