file,model,gen,batch,problem_key,total_diagnostics,warnings,errors,notes,bugprone,performance,modernize,readability,cppcoreguidelines,cert,analyzer,compiler_warning,misc,hicpp,other
human/soln1/00000/0033_425_D._Sereja_and_Squares,human,soln1,00000,425_D._Sereja_and_Squares,8,8,0,0,0,1,6,0,0,0,1,0,0,0,0
human/soln1/00000/0006_1149_E._Election_Promises,human,soln1,00000,1149_E._Election_Promises,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0
human/soln1/00000/0232_p03452_AtCoder_Regular_Contest_090_-_People_on_a_Line,human,soln1,00000,p03452_AtCoder_Regular_Contest_090_-_People_on_a_Line,8,8,0,0,0,0,7,0,0,0,1,0,0,0,0
human/soln1/00000/0079_p01838_Optimal_Tournament,human,soln1,00000,p01838_Optimal_Tournament,7,7,0,0,0,0,4,0,0,0,3,0,0,0,0
human/soln1/00000/0263_1219_H._Function_Composition,human,soln1,00000,1219_H._Function_Composition,18,18,0,0,3,0,13,0,0,0,2,0,0,0,0
human/soln1/00000/0143_p02781_AtCoder_Beginner_Contest_154_-_Almost_Everywhere_Zero,human,soln1,00000,p02781_AtCoder_Beginner_Contest_154_-_Almost_Everywhere_Zero,8,8,0,0,2,0,6,0,0,0,0,0,0,0,0
human/soln1/00000/0063_p03455_AtCoder_Beginner_Contest_086_-_Product,human,soln1,00000,p03455_AtCoder_Beginner_Contest_086_-_Product,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
human/soln1/00000/0092_1195_D2._Submarine_in_the_Rybinsk_Sea__hard_edition_,human,soln1,00000,1195_D2._Submarine_in_the_Rybinsk_Sea__hard_edition_,8,8,0,0,1,1,6,0,0,0,0,0,0,0,0
human/soln1/00000/0075_p01222_Walk_under_a_Scorching_Sun,human,soln1,00000,p01222_Walk_under_a_Scorching_Sun,30,30,0,0,8,1,21,0,0,0,0,0,0,0,0
human/soln1/00000/0154_p00365_Age_Difference,human,soln1,00000,p00365_Age_Difference,37,37,0,0,24,1,12,0,0,0,0,0,0,0,0
human/soln1/00000/0255_1053_C._Putting_Boxes_Together,human,soln1,00000,1053_C._Putting_Boxes_Together,35,35,0,0,8,15,10,0,0,0,2,0,0,0,0
human/soln1/00000/0221_893_A._Chess_For_Three,human,soln1,00000,893_A._Chess_For_Three,4,4,0,0,0,2,2,0,0,0,0,0,0,0,0
human/soln1/00000/0047_776_A._A_Serial_Killer,human,soln1,00000,776_A._A_Serial_Killer,3,3,0,0,0,2,1,0,0,0,0,0,0,0,0
human/soln1/00000/0013_1334_D._Minimum_Euler_Cycle,human,soln1,00000,1334_D._Minimum_Euler_Cycle,9,9,0,0,3,1,5,0,0,0,0,0,0,0,0
human/soln1/00000/0055_963_B._Destruction_of_a_Tree,human,soln1,00000,963_B._Destruction_of_a_Tree,8,8,0,0,0,1,7,0,0,0,0,0,0,0,0
human/soln1/00000/0145_p03052_diverta_2019_Programming_Contest_-_Edge_Ordering,human,soln1,00000,p03052_diverta_2019_Programming_Contest_-_Edge_Ordering,25,25,0,0,2,0,15,0,0,0,3,5,0,0,0
human/soln1/00000/0198_331_D2._Escaping_on_Beaveractor,human,soln1,00000,331_D2._Escaping_on_Beaveractor,9,9,0,0,0,0,6,0,0,0,2,1,0,0,0
human/soln1/00000/0252_p02405_Print_a_Chessboard,human,soln1,00000,p02405_Print_a_Chessboard,3,3,0,0,0,2,1,0,0,0,0,0,0,0,0
human/soln1/00000/0267_1304_E._1-Trees_and_Queries,human,soln1,00000,1304_E._1-Trees_and_Queries,10,10,0,0,2,0,8,0,0,0,0,0,0,0,0
human/soln1/00000/0074_p01086_Short_Phrase,human,soln1,00000,p01086_Short_Phrase,9,9,0,0,5,1,3,0,0,0,0,0,0,0,0
human/soln1/00000/0054_938_B._Run_For_Your_Prize,human,soln1,00000,938_B._Run_For_Your_Prize,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
human/soln1/00000/0018_143_A._Help_Vasilisa_the_Wise_2,human,soln1,00000,143_A._Help_Vasilisa_the_Wise_2,13,13,0,0,4,3,6,0,0,0,0,0,0,0,0
human/soln1/00000/0117_433_A._Kitahara_Haruki_s_Gift,human,soln1,00000,433_A._Kitahara_Haruki_s_Gift,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
human/soln1/00000/0115_385_A._Bear_and_Raspberry,human,soln1,00000,385_A._Bear_and_Raspberry,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
human/soln1/00000/0156_p00720_Earth_Observation_with_a_Mobile_Robot_Team,human,soln1,00000,p00720_Earth_Observation_with_a_Mobile_Robot_Team,16,16,0,0,4,0,12,0,0,0,0,0,0,0,0
human/soln1/00000/0178_1227_A._Math_Problem,human,soln1,00000,1227_A._Math_Problem,10,10,0,0,0,3,5,0,0,0,0,2,0,0,0
human/soln1/00000/0209_614_C._Peter_and_Snow_Blower,human,soln1,00000,614_C._Peter_and_Snow_Blower,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0
human/soln1/00000/0224_962_F._Simple_Cycles_Edges,human,soln1,00000,962_F._Simple_Cycles_Edges,11,11,0,0,1,0,10,0,0,0,0,0,0,0,0
human/soln1/00000/0229_p03010_diverta_2019_Programming_Contest_2_-_Diverta_City,human,soln1,00000,p03010_diverta_2019_Programming_Contest_2_-_Diverta_City,3,3,0,0,0,1,2,0,0,0,0,0,0,0,0
human/soln1/00000/0250_p02117_Picnic,human,soln1,00000,p02117_Picnic,6,6,0,0,0,1,5,0,0,0,0,0,0,0,0
human/soln1/00000/0262_1202_C._You_Are_Given_a_WASD-string...,human,soln1,00000,1202_C._You_Are_Given_a_WASD-string...,18,18,0,0,2,0,15,0,0,0,1,0,0,0,0
human/soln1/00000/0205_518_E._Arthur_and_Questions,human,soln1,00000,518_E._Arthur_and_Questions,8,8,0,0,0,0,7,0,0,0,1,0,0,0,0
human/soln1/00000/0184_1354_C2._Not_So_Simple_Polygon_Embedding,human,soln1,00000,1354_C2._Not_So_Simple_Polygon_Embedding,4,4,0,0,1,0,3,0,0,0,0,0,0,0,0
human/soln1/00000/0173_1100_D._Dasha_and_Chess,human,soln1,00000,1100_D._Dasha_and_Chess,11,11,0,0,0,1,10,0,0,0,0,0,0,0,0
human/soln1/00000/0226_p02610_AIsing_Programming_Contest_2020_-_Camel_Train,human,soln1,00000,p02610_AIsing_Programming_Contest_2020_-_Camel_Train,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
human/soln1/00000/0095_1277_E._Two_Fairs,human,soln1,00000,1277_E._Two_Fairs,6,6,0,0,1,0,4,0,0,0,0,1,0,0,0
human/soln1/00000/0180_1269_B._Modulo_Equality,human,soln1,00000,1269_B._Modulo_Equality,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
human/soln1/00000/0264_1244_C._The_Football_Season,human,soln1,00000,1244_C._The_Football_Season,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
human/soln1/00000/0046_754_E._Dasha_and_cyclic_table,human,soln1,00000,754_E._Dasha_and_cyclic_table,15,15,0,0,6,0,6,0,0,0,3,0,0,0,0
human/soln1/00000/0148_p03503_AtCoder_Beginner_Contest_080_-_Shopping_Street,human,soln1,00000,p03503_AtCoder_Beginner_Contest_080_-_Shopping_Street,6,6,0,0,4,1,1,0,0,0,0,0,0,0,0
human/soln1/00000/0022_1540_C1._Converging_Array__Easy_Version_,human,soln1,00000,1540_C1._Converging_Array__Easy_Version_,5,5,0,0,2,0,3,0,0,0,0,0,0,0,0
human/soln1/00000/0171_105_C._Item_World,human,soln1,00000,105_C._Item_World,15,15,0,0,0,2,12,0,0,0,1,0,0,0,0
human/soln1/00000/0039_593_C._Beautiful_Function,human,soln1,00000,593_C._Beautiful_Function,8,8,0,0,0,3,5,0,0,0,0,0,0,0,0
human/soln1/00000/0064_p03616_AtCoder_Regular_Contest_082_-_Sandglass,human,soln1,00000,p03616_AtCoder_Regular_Contest_082_-_Sandglass,11,11,0,0,1,2,7,0,0,0,1,0,0,0,0
human/soln1/00000/0102_1470_E._Strange_Permutation,human,soln1,00000,1470_E._Strange_Permutation,42,42,0,0,3,0,39,0,0,0,0,0,0,0,0
human/soln1/00000/0223_937_D._Sleepy_Game,human,soln1,00000,937_D._Sleepy_Game,6,6,0,0,1,0,4,0,0,0,1,0,0,0,0
human/soln1/00000/0068_p00167_Bubble_Sort,human,soln1,00000,p00167_Bubble_Sort,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
human/soln1/00000/0073_p00953_Animal_Companion_in_Maze,human,soln1,00000,p00953_Animal_Companion_in_Maze,11,11,0,0,1,3,7,0,0,0,0,0,0,0,0
human/soln1/00000/0094_1253_F._Cheap_Robot,human,soln1,00000,1253_F._Cheap_Robot,20,20,0,0,2,0,16,0,0,0,2,0,0,0,0
human/soln1/00000/0271_1391_C._Cyclic_Permutations_,human,soln1,00000,1391_C._Cyclic_Permutations_,18,18,0,0,1,0,17,0,0,0,0,0,0,0,0
human/soln1/00000/0185_1374_B._Multiply_by_2__divide_by_6,human,soln1,00000,1374_B._Multiply_by_2__divide_by_6,3,3,0,0,0,2,1,0,0,0,0,0,0,0,0
human/soln1/00000/0048_7_B._Memory_Manager,human,soln1,00000,7_B._Memory_Manager,10,10,0,0,2,3,5,0,0,0,0,0,0,0,0
human/soln1/00000/0270_1369_D._TediousLee,human,soln1,00000,1369_D._TediousLee,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0
human/soln1/00000/0140_977_B._Two-gram,human,soln1,00000,977_B._Two-gram,7,7,0,0,0,1,6,0,0,0,0,0,0,0,0
human/soln1/00000/0169_1012_B._Chemical_table,human,soln1,00000,1012_B._Chemical_table,4,4,0,0,0,0,3,0,0,0,1,0,0,0,0
human/soln1/00000/0035_494_D._Birthday,human,soln1,00000,494_D._Birthday,41,31,10,0,7,0,24,0,0,0,0,10,0,0,0
human/soln1/00000/0042_663_A._Rebus,human,soln1,00000,663_A._Rebus,6,6,0,0,0,4,2,0,0,0,0,0,0,0,0
human/soln1/00000/0189_1466_C._Canine_poetry,human,soln1,00000,1466_C._Canine_poetry,8,8,0,0,5,0,3,0,0,0,0,0,0,0,0
human/soln1/00000/0157_p00860_The_Morning_after_Halloween,human,soln1,00000,p00860_The_Morning_after_Halloween,11,11,0,0,3,1,7,0,0,0,0,0,0,0,0
human/soln1/00000/0129_716_D._Complete_The_Graph,human,soln1,00000,716_D._Complete_The_Graph,43,43,0,0,10,0,31,0,0,0,2,0,0,0,0
human/soln1/00000/0097_133_D._Piet,human,soln1,00000,133_D._Piet,9,9,0,0,1,1,7,0,0,0,0,0,0,0,0
human/soln1/00000/0253_1007_E._Mini_Metro,human,soln1,00000,1007_E._Mini_Metro,10,10,0,0,0,0,7,0,0,0,3,0,0,0,0
human/soln1/00000/0212_687_A._NP-Hard_Problem,human,soln1,00000,687_A._NP-Hard_Problem,9,9,0,0,0,5,4,0,0,0,0,0,0,0,0
human/soln1/00000/0163_p01738_Gravity_Point,human,soln1,00000,p01738_Gravity_Point,27,27,0,0,4,0,23,0,0,0,0,0,0,0,0
human/soln1/00000/0151_p03986_AtCoder_Grand_Contest_005_-_STring,human,soln1,00000,p03986_AtCoder_Grand_Contest_005_-_STring,3,3,0,0,0,1,2,0,0,0,0,0,0,0,0
human/soln1/00000/0181_1291_B._Array_Sharpening,human,soln1,00000,1291_B._Array_Sharpening,11,11,0,0,3,0,3,0,0,0,5,0,0,0,0
human/soln1/00000/0149_p03664_AtCoder_Regular_Contest_078_-_Mole_and_Abandoned_Mine,human,soln1,00000,p03664_AtCoder_Regular_Contest_078_-_Mole_and_Abandoned_Mine,16,16,0,0,4,0,5,0,0,0,7,0,0,0,0
human/soln1/00000/0260_1165_A._Remainder,human,soln1,00000,1165_A._Remainder,3,3,0,0,1,1,1,0,0,0,0,0,0,0,0
human/soln1/00000/0152_p00074_Videotape,human,soln1,00000,p00074_Videotape,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
human/soln1/00000/0183_1334_A._Level_Statistics,human,soln1,00000,1334_A._Level_Statistics,3,3,0,0,0,2,1,0,0,0,0,0,0,0,0
human/soln1/00000/0230_p03150_KEYENCE_Programming_Contest_2019_-_KEYENCE_String,human,soln1,00000,p03150_KEYENCE_Programming_Contest_2019_-_KEYENCE_String,3,3,0,0,0,2,1,0,0,0,0,0,0,0,0
human/soln1/00000/0167_p02298_Is-Convex,human,soln1,00000,p02298_Is-Convex,6,6,0,0,0,1,5,0,0,0,0,0,0,0,0
human/soln1/00000/0259_1144_B._Parity_Alternated_Deletions,human,soln1,00000,1144_B._Parity_Alternated_Deletions,4,4,0,0,2,0,2,0,0,0,0,0,0,0,0
human/soln1/00000/0016_1398_A._Bad_Triangle,human,soln1,00000,1398_A._Bad_Triangle,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
human/soln1/00000/0012_1311_F._Moving_Points,human,soln1,00000,1311_F._Moving_Points,3,3,0,0,1,0,2,0,0,0,0,0,0,0,0
human/soln1/00000/0100_1424_N._BubbleSquare_Tokens,human,soln1,00000,1424_N._BubbleSquare_Tokens,39,31,8,0,2,1,28,0,0,0,0,8,0,0,0
human/soln1/00000/0248_p01835_Donut_Decoration,human,soln1,00000,p01835_Donut_Decoration,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0
human/soln1/00000/0110_268_A._Games,human,soln1,00000,268_A._Games,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0
human/soln1/00000/0211_662_C._Binary_Table,human,soln1,00000,662_C._Binary_Table,4,4,0,0,1,0,3,0,0,0,0,0,0,0,0
human/soln1/00000/0087_1088_D._Ehab_and_another_another_xor_problem,human,soln1,00000,1088_D._Ehab_and_another_another_xor_problem,18,18,0,0,5,4,9,0,0,0,0,0,0,0,0
human/soln1/00000/0206_544_E._Remembering_Strings,human,soln1,00000,544_E._Remembering_Strings,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0
human/soln1/00000/0220_867_D._Gotta_Go_Fast,human,soln1,00000,867_D._Gotta_Go_Fast,6,6,0,0,0,0,3,0,0,0,3,0,0,0,0
human/soln1/00000/0203_449_D._Jzzhu_and_Numbers,human,soln1,00000,449_D._Jzzhu_and_Numbers,7,7,0,0,1,0,6,0,0,0,0,0,0,0,0
human/soln1/00000/0235_p03940_AtCoder_Grand_Contest_007_-_Shik_and_Game,human,soln1,00000,p03940_AtCoder_Grand_Contest_007_-_Shik_and_Game,12,12,0,0,5,0,7,0,0,0,0,0,0,0,0
human/soln1/00000/0105_1547_C._Pair_Programming,human,soln1,00000,1547_C._Pair_Programming,5,5,0,0,3,0,2,0,0,0,0,0,0,0,0
human/soln1/00000/0071_p00680_KND_Factory,human,soln1,00000,p00680_KND_Factory,34,34,0,0,12,0,22,0,0,0,0,0,0,0,0
human/soln1/00000/0146_p03194_CADDi_2018_for_Beginners_-_Product_and_GCD,human,soln1,00000,p03194_CADDi_2018_for_Beginners_-_Product_and_GCD,4,4,0,0,0,2,2,0,0,0,0,0,0,0,0
human/soln1/00000/0144_p02916_AtCoder_Beginner_Contest_140_-_Buffet,human,soln1,00000,p02916_AtCoder_Beginner_Contest_140_-_Buffet,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
human/soln1/00000/0024_20_B._Equation,human,soln1,00000,20_B._Equation,5,5,0,0,3,1,1,0,0,0,0,0,0,0,0
human/soln1/00000/0121_526_A._King_of_Thieves,human,soln1,00000,526_A._King_of_Thieves,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
human/soln1/00000/0001_1037_E._Trips,human,soln1,00000,1037_E._Trips,4,4,0,0,1,0,3,0,0,0,0,0,0,0,0
human/soln1/00000/0101_1446_D2._Frequency_Problem__Hard_Version_,human,soln1,00000,1446_D2._Frequency_Problem__Hard_Version_,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0
human/soln1/00000/0056_990_E._Post_Lamps,human,soln1,00000,990_E._Post_Lamps,6,6,0,0,0,0,5,0,0,0,1,0,0,0,0
human/soln1/00000/0257_1096_E._The_Top_Scorer,human,soln1,00000,1096_E._The_Top_Scorer,20,20,0,0,10,2,8,0,0,0,0,0,0,0,0
human/soln1/00000/0072_p00822_Weather_Forecast,human,soln1,00000,p00822_Weather_Forecast,6,6,0,0,0,0,6,0,0,0,0,0,0,0,0
human/soln1/00000/0195_25_D._Roads_not_only_in_Berland,human,soln1,00000,25_D._Roads_not_only_in_Berland,10,10,0,0,1,2,6,0,0,0,0,1,0,0,0
human/soln1/00000/0043_687_D._Dividing_Kingdom_II,human,soln1,00000,687_D._Dividing_Kingdom_II,8,8,0,0,0,0,6,0,0,0,2,0,0,0,0
human/soln1/00000/0179_124_D._Squares,human,soln1,00000,124_D._Squares,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0
human/soln1/00000/0161_p01422_Beautiful_Currency,human,soln1,00000,p01422_Beautiful_Currency,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0
human/soln1/00000/0177_1208_A._XORinacci,human,soln1,00000,1208_A._XORinacci,5,5,0,0,2,1,2,0,0,0,0,0,0,0,0
human/soln1/00000/0166_p02157_Shuffle_2,human,soln1,00000,p02157_Shuffle_2,5,5,0,0,1,1,3,0,0,0,0,0,0,0,0
human/soln1/00000/0219_846_B._Math_Show,human,soln1,00000,846_B._Math_Show,5,5,0,0,0,0,4,0,0,0,1,0,0,0,0
human/soln1/00000/0134_830_A._Office_Keys,human,soln1,00000,830_A._Office_Keys,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
human/soln1/00000/0122_551_B._ZgukistringZ,human,soln1,00000,551_B._ZgukistringZ,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0
human/soln1/00000/0123_578_C._Weakness_and_Poorness,human,soln1,00000,578_C._Weakness_and_Poorness,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0
human/soln1/00000/0069_p00323_Metal_Recycling,human,soln1,00000,p00323_Metal_Recycling,14,14,0,0,3,1,10,0,0,0,0,0,0,0,0
human/soln1/00000/0188_1439_C._Greedy_Shopping,human,soln1,00000,1439_C._Greedy_Shopping,17,17,0,0,10,0,4,0,0,0,2,1,0,0,0
human/soln1/00000/0031_379_A._New_Year_Candles,human,soln1,00000,379_A._New_Year_Candles,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0
human/soln1/00000/0040_615_A._Bulbs,human,soln1,00000,615_A._Bulbs,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0
human/soln1/00000/0200_378_C._Maze,human,soln1,00000,378_C._Maze,8,8,0,0,1,1,6,0,0,0,0,0,0,0,0
human/soln1/00000/0109_242_C._King_s_Path,human,soln1,00000,242_C._King_s_Path,195,195,0,0,33,13,144,0,0,0,3,2,0,0,0
human/soln1/00000/0210_633_H._Fibonacci-ish_II,human,soln1,00000,633_H._Fibonacci-ish_II,13,13,0,0,7,0,6,0,0,0,0,0,0,0,0
human/soln1/00000/0057_p02613_AtCoder_Beginner_Contest_173_-_Judge_Status_Summary,human,soln1,00000,p02613_AtCoder_Beginner_Contest_173_-_Judge_Status_Summary,4,4,0,0,0,0,3,0,0,0,1,0,0,0,0
human/soln1/00000/0233_p03612_AtCoder_Beginner_Contest_072_-_Derangement,human,soln1,00000,p03612_AtCoder_Beginner_Contest_072_-_Derangement,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0
human/soln1/00000/0103_1497_D._Genius,human,soln1,00000,1497_D._Genius,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0
human/soln1/00000/0168_p02445_Swap,human,soln1,00000,p02445_Swap,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
human/soln1/00000/0083_p02408_Finding_Missing_Cards,human,soln1,00000,p02408_Finding_Missing_Cards,4,4,0,0,0,0,3,0,0,0,1,0,0,0,0
human/soln1/00000/0139_949_C._Data_Center_Maintenance,human,soln1,00000,949_C._Data_Center_Maintenance,11,11,0,0,0,0,10,0,0,0,1,0,0,0,0
human/soln1/00000/0215_754_B._Ilya_and_tic-tac-toe_game,human,soln1,00000,754_B._Ilya_and_tic-tac-toe_game,5,5,0,0,1,0,4,0,0,0,0,0,0,0,0
human/soln1/00000/0190_1490_D._Permutation_Transformation,human,soln1,00000,1490_D._Permutation_Transformation,8,8,0,0,0,0,8,0,0,0,0,0,0,0,0
human/soln1/00000/0124_5_A._Chat_Server_s_Outgoing_Traffic,human,soln1,00000,5_A._Chat_Server_s_Outgoing_Traffic,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0
human/soln1/00000/0066_p03943_AtCoder_Beginner_Contest_047_-_Fighting_over_Candies,human,soln1,00000,p03943_AtCoder_Beginner_Contest_047_-_Fighting_over_Candies,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
human/soln1/00000/0008_1208_D._Restore_Permutation,human,soln1,00000,1208_D._Restore_Permutation,18,18,0,0,3,0,14,0,0,0,1,0,0,0,0
human/soln1/00000/0237_p00163_Highway_Toll,human,soln1,00000,p00163_Highway_Toll,3,3,0,0,0,1,2,0,0,0,0,0,0,0,0
human/soln1/00000/0176_1189_A._Keanu_Reeves,human,soln1,00000,1189_A._Keanu_Reeves,4,4,0,0,0,3,1,0,0,0,0,0,0,0,0
human/soln1/00000/0251_p02257_Prime_Numbers,human,soln1,00000,p02257_Prime_Numbers,3,3,0,0,0,1,2,0,0,0,0,0,0,0,0
human/soln1/00000/0062_p03297_AtCoder_Grand_Contest_026_-_rng_10s,human,soln1,00000,p03297_AtCoder_Grand_Contest_026_-_rng_10s,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0
human/soln1/00000/0246_p01535_Markup_language_has_Declined,human,soln1,00000,p01535_Markup_language_has_Declined,41,41,0,0,5,2,34,0,0,0,0,0,0,0,0
human/soln1/00000/0172_1081_D._Maximum_Distance,human,soln1,00000,1081_D._Maximum_Distance,8,8,0,0,1,0,7,0,0,0,0,0,0,0,0
human/soln1/00000/0245_p01353_Rabbit_Plays_Games_,human,soln1,00000,p01353_Rabbit_Plays_Games_,10,10,0,0,4,1,5,0,0,0,0,0,0,0,0
human/soln1/00000/0070_p00493_Zig-Zag_Numbers,human,soln1,00000,p00493_Zig-Zag_Numbers,43,43,0,0,4,3,36,0,0,0,0,0,0,0,0
human/soln1/00000/0127_670_B._Game_of_Robots,human,soln1,00000,670_B._Game_of_Robots,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
human/soln1/00000/0218_820_A._Mister_B_and_Book_Reading,human,soln1,00000,820_A._Mister_B_and_Book_Reading,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0
human/soln1/00000/0133_805_A._Fake_NP,human,soln1,00000,805_A._Fake_NP,3,3,0,0,2,0,1,0,0,0,0,0,0,0,0
human/soln1/00000/0091_1176_F._Destroy_it_,human,soln1,00000,1176_F._Destroy_it_,7,7,0,0,0,0,7,0,0,0,0,0,0,0,0
human/soln1/00000/0269_1348_F._Phoenix_and_Memory,human,soln1,00000,1348_F._Phoenix_and_Memory,19,19,0,0,4,1,13,0,0,0,1,0,0,0,0
