problem_key,shard,tags
830_A. Office Keys,00000,binary search|brute force|dp|greedy|sortings
851_B. Arpa and an exam about geometry,00000,geometry|math
875_D. High Cry,00000,binary search|bitmasks|combinatorics|data structures|divide and conquer
89_C. Chip Play,00000,brute force|data structures|implementation
920_E. Connected Components?,00000,data structures|dfs and similar|dsu|graphs
949_C. Data Center Maintenance,00000,dfs and similar|graphs
977_B. Two-gram,00000,implementation|strings
996_F. Game,00000,math
p02652 AtCoder Grand Contest 045 - 01 Unbalanced,00000,
p02781 AtCoder Beginner Contest 154 - Almost Everywhere Zero,00000,
p02916 AtCoder Beginner Contest 140 - Buffet,00000,
p03052 diverta 2019 Programming Contest - Edge Ordering,00000,
p03194 CADDi 2018 for Beginners - Product and GCD,00000,
p03343 AtCoder Regular Contest 098 - Range Minimum Queries,00000,
p03503 AtCoder Beginner Contest 080 - Shopping Street,00000,
p03664 AtCoder Regular Contest 078 - Mole and Abandoned Mine,00000,
p03819 AtCoder Regular Contest 068 - Snuke Line,00000,
p03986 AtCoder Grand Contest 005 - STring,00000,
p00074 Videotape,00000,
p00206 Next Trip,00000,
p00365 Age Difference,00000,
p00573 Commuter Pass,00000,
p00720 Earth Observation with a Mobile Robot Team,00000,
p00860 The Morning after Halloween,00000,
p00991 Grid,00000,
p01123 Let's Move Tiles!,00000,
p01262 Adaptive Time Slicing Quantization,00000,
p01422 Beautiful Currency,00000,
p01576 Exciting Bicycle,00000,
p01738 Gravity Point,00000,
p01878 Destiny Draw,00000,
p02014 Rough Sorting,00000,
p02157 Shuffle 2,00000,
p02298 Is-Convex,00000,
p02445 Swap,00000,
1012_B. Chemical table,00000,constructive algorithms|dfs and similar|dsu|graphs|matrices
1037_B. Reach Median,00000,greedy
105_C. Item World,00000,brute force|implementation|sortings
1081_D. Maximum Distance,00000,dsu|graphs|shortest paths|sortings
1100_D. Dasha and Chess,00000,constructive algorithms|games|interactive
1129_A2. Toy Train,00000,brute force|greedy
1149_B. Three Religions,00000,dp|implementation|strings
1189_A. Keanu Reeves,00000,strings
1208_A. XORinacci,00000,math
1227_A. Math Problem,00000,math
124_D. Squares,00000,math
1269_B. Modulo Equality,00000,brute force|sortings
1291_B. Array Sharpening,00000,greedy|implementation
1311_C. Perform the Combo,00000,brute force
1334_A. Level Statistics,00000,implementation|math
1354_C2. Not So Simple Polygon Embedding,00000,binary search|brute force|geometry|math
"1374_B. Multiply by 2, divide by 6",00000,math
1397_C. Multiples of Length,00000,constructive algorithms|greedy|number theory
1420_D. Rescue Nibel!,00000,combinatorics|data structures|sortings
1439_C. Greedy Shopping,00000,binary search|data structures|divide and conquer|greedy|implementation
1466_C. Canine poetry,00000,dp|greedy|strings
1490_D. Permutation Transformation,00000,dfs and similar|divide and conquer|implementation
1512_G. Short Task,00000,brute force|dp|math|number theory
167_C. Wizards and Numbers,00000,games|math
209_B. Pixels,00000,constructive algorithms|math
235_A. LCM Challenge,00000,number theory
25_D. Roads not only in Berland,00000,dsu|graphs|trees
283_D. Cows and Cool Sequences,00000,dp|math|number theory
"306_C. White, Black and White Again",00000,combinatorics|number theory
331_D2. Escaping on Beaveractor,00000,graphs
354_B. Game with Strings,00000,bitmasks|dp|games
378_C. Maze,00000,dfs and similar
39_E. What Has Dirichlet Got to Do with That?,00000,dp|games
425_A. Sereja and Swaps,00000,brute force|sortings
449_D. Jzzhu and Numbers,00000,bitmasks|combinatorics|dp
494_A. Treasure,00000,greedy
518_E. Arthur and Questions,00000,greedy|implementation|math|ternary search
544_E. Remembering Strings,00000,bitmasks|dp
571_B. Minimization,00000,dp|greedy|sortings
592_E. BCPC,00000,binary search|geometry|two pointers
614_C. Peter and Snow Blower,00000,binary search|geometry|ternary search
633_H. Fibonacci-ish II,00000,data structures|implementation
662_C. Binary Table,00000,bitmasks|brute force|divide and conquer|dp|fft|math
687_A. NP-Hard Problem,00000,dfs and similar|graphs
709_E. Centroids,00000,data structures|dfs and similar|dp|graphs|greedy|trees
730_G. Car Repair Shop,00000,implementation
754_B. Ilya and tic-tac-toe game,00000,brute force|implementation
774_K. Stepan and Vowels,00000,*special|implementation|strings
79_D. Password,00000,bitmasks|dp|shortest paths
820_A. Mister B and Book Reading,00000,implementation
846_B. Math Show,00000,brute force|greedy
867_D. Gotta Go Fast,00000,binary search|dp
893_A. Chess For Three,00000,implementation
914_F. Substrings in a String,00000,bitmasks|brute force|data structures|string suffix structures|strings
937_D. Sleepy Game,00000,dfs and similar|dp|games|graphs
962_F. Simple Cycles Edges,00000,dfs and similar|graphs|trees
990_B. Micro-World,00000,greedy|sortings
p02610 AIsing Programming Contest 2020 - Camel Train,00000,
p02741 Panasonic Programming Contest 2020 - Kth Term,00000,
p02876 AtCoder Grand Contest 040 - Balance Beam,00000,
p03010 diverta 2019 Programming Contest 2 - Diverta City,00000,
p03150 KEYENCE Programming Contest 2019 - KEYENCE String,00000,
p03294 AtCoder Beginner Contest 103 - Modulo Summation,00000,
p03452 AtCoder Regular Contest 090 - People on a Line,00000,
p03612 AtCoder Beginner Contest 072 - Derangement,00000,
p03771 AtCoder Grand Contest 012 - Camel and Oases,00000,
p03940 AtCoder Grand Contest 007 - Shik and Game,00000,
p00032 Plastic Board,00000,
p00163 Highway Toll,00000,
p00320 Cuboid,00000,
p00490 Best Pizza,00000,
p00676 KND is So Sexy,00000,
p00819 Unreliable Message,00000,
p00950 Infallibly Crack Perplexing Cryptarithm,00000,
p01083 RedBlue,00000,
p01219 Private Teacher,00000,
p01353 Rabbit Plays Games!,00000,
p01535 Markup language has Declined,00000,
p01691 Disappear Drive,00000,
p01835 Donut Decoration,00000,
p01970 The Diversity of Prime Factorization,00000,
p02117 Picnic,00000,
p02257 Prime Numbers,00000,
p02405 Print a Chessboard,00000,
1007_E. Mini Metro,00000,dp
1030_E. Vasya and Good Sequences,00000,bitmasks|dp
1053_C. Putting Boxes Together,00000,data structures
1075_D. Intersecting Subtrees,00000,dfs and similar|interactive|trees
1096_E. The Top Scorer,00000,combinatorics|dp|math|probabilities
1117_F. Crisp String,00000,bitmasks|dp
1144_B. Parity Alternated Deletions,00000,greedy|implementation|sortings
1165_A. Remainder,00000,implementation|math
1184_B3. The Doctor Meets Vader (Hard),00000,flows|shortest paths
1202_C. You Are Given a WASD-string...,00000,brute force|data structures|dp|greedy|implementation|math|strings
1219_H. Function Composition,00000,dfs and similar
1244_C. The Football Season,00000,brute force|math|number theory
1264_A. Beautiful Regional Contest,00000,greedy|implementation
1285_C. Fadi and LCM,00000,brute force|math|number theory
1304_E. 1-Trees and Queries,00000,data structures|dfs and similar|shortest paths|trees
1328_F. Make k Equal,00000,greedy
1348_F. Phoenix and Memory,00000,data structures|dfs and similar|graphs|greedy
1369_D. TediousLee,00000,dp|graphs|greedy|math|trees
1391_C. Cyclic Permutations ,00000,combinatorics|dp|graphs|math
1413_F. Roads and Ramen,00000,data structures|trees
1455_F. String and Operations,00000,dp|greedy
147_B. Smile House,00000,binary search|graphs|matrices
1506_F. Triangular Paths,00000,constructive algorithms|graphs|math|shortest paths|sortings
152_E. Garden,00001,bitmasks|dp|graphs|trees
161_B. Discounts,00001,constructive algorithms|greedy|sortings
180_D. Name,00001,greedy|strings
203_E. Transportation,00001,greedy|sortings|two pointers
228_D. Zigzag,00001,data structures
252_B. Unsorting Array,00001,brute force|sortings
277_C. Game,00001,games|implementation
29_E. Quarrel,00001,graphs|shortest paths
323_C. Two permutations,00001,data structures
348_A. Mafia,00001,binary search|math|sortings
371_B. Fox Dividing Cheese,00001,math|number theory
392_D. Three Arrays,00001,data structures
415_E. Mashmokh and Reverse Operation,00001,combinatorics|divide and conquer
442_C. Artem and Array ,00001,data structures|greedy
464_D. World of Darkraft - 2,00001,dp|probabilities
488_C. Fight the Monster,00001,binary search|brute force|implementation
512_B. Fox And Jumping,00001,bitmasks|brute force|dp|math
536_C. Tavas and Pashmaks,00001,geometry|math
560_D. Equivalent Strings,00001,divide and conquer|hashing|sortings|strings
586_F. Lizard Era: Beginning,00001,meet-in-the-middle
609_B. The Best Gift,00001,constructive algorithms|implementation
630_A. Again Twenty Five!,00001,number theory
656_E. Out of Controls,00001,*special
67_E. Save the City!,00001,geometry
702_E. Analysis of Pathes in Functional Graph,00001,data structures|graphs
724_F. Uniformly Branched Trees,00001,combinatorics|dp|trees
746_F. Music in Car,00001,data structures|greedy|two pointers
76_B. Mice,00001,greedy|two pointers
793_F. Julia the snail,00001,data structures|divide and conquer|dp
814_C. An impassioned circulation of affection,00001,brute force|dp|strings|two pointers
83_C. Track,00001,graphs|greedy|shortest paths
85_D. Sum of Medians,00001,binary search|brute force|data structures|implementation
886_D. Restoration of string,00001,constructive algorithms|graphs|implementation
909_D. Colorful Points,00001,data structures|greedy|implementation
931_A. Friends Meeting,00001,brute force|greedy|implementation|math
958_E2. Guard Duty (medium),00001,binary search|dp|greedy|sortings
985_A. Chess Placing,00001,implementation
p02574 AtCoder Beginner Contest 177 - Coprime,00001,
p02705 AtCoder Beginner Contest 163 - Circle Pond,00001,
p02834 AtCoder Beginner Contest 148 - Playing Tag on Tree,00001,
p02971 AtCoder Beginner Contest 134 - Exception Handling,00001,
p03107 AtCoder Beginner Contest 120 - Unification,00001,
p03254 AtCoder Grand Contest 027 - Candy Distribution Again,00001,
p03407 AtCoder Beginner Contest 091 - Two Coins,00001,
p03570 CODE FESTIVAL 2017 qual C - Yet Another Palindrome Partitioning,00001,
p03725 AtCoder Grand Contest 014 - Closed Rooms,00001,
p03889 CODE FESTIVAL 2016 Relay (Parallel) - Mirror String,00001,
p04048 AtCoder Grand Contest 001 - Mysterious Light,00001,
p00127 Pocket Pager Input,00001,
p00260 Cats Going Straight,00001,
p00447 Searching Constellation,00001,
p00638 Old Bridges,00001,
p00781 Lattice Practices,00001,
p00914 Equal Sum Sets,00001,
p01046 Yu-kun Likes a lot of Money,00001,
p01179 Cousin's Aunt,00001,
p01316 Differential Pulse Code Modulation,00001,
p01484 Icy Composer,00001,
p01646 Dictionary,00001,
p01797 Kimagure Cleaner,00001,
p01931 Check answers,00001,
p02069 Universal and Existential Quantifiers,00001,
p02211 Apple Adventure,00001,
p02365 Minimum-Cost Arborescence,00001,
1003_D. Coins and Queries,00001,greedy
1027_E. Inverse Coloring,00001,combinatorics|dp|math
1046_D. Interstellar battle,00001,math|probabilities|trees
1070_C. Cloud Computing,00001,data structures|greedy
1091_G. New Year and the Factorisation Collaboration,00001,interactive|math|number theory
1110_E. Magic Stones,00001,constructive algorithms|math|sortings
1140_B. Good String,00001,implementation|strings
1158_F. Density of subarrays,00001,dp|math
1180_E. Serge and Dining Room,00001,binary search|data structures|graph matchings|greedy|implementation|math|trees
1199_E. Matching vs Independent Set,00001,constructive algorithms|graphs|greedy|sortings
1216_D. Swords,00001,math
1239_E. Turtle,00001,dp|implementation
1257_G. Divisor Set,00001,divide and conquer|fft|greedy|math|number theory
1281_B. Azamon Web Services,00001,greedy
1301_B. Motarack's Birthday,00001,binary search|greedy|ternary search
1325_B. CopyCopyCopyCopyCopy,00001,greedy|implementation
1344_A. Hilbert's Hotel,00001,math|number theory|sortings
1366_A. Shovels and Swords,00001,binary search|greedy|math
1386_A. Colors,00001,*special|binary search|constructive algorithms|interactive
1408_A. Circle Coloring,00001,constructive algorithms
1428_D. Bouncing Boomerangs,00001,constructive algorithms|greedy|implementation
1451_D. Circle Game,00001,games|geometry|math
1475_D. Cleaning the Phone,00001,binary search|dp|sortings|two pointers
1500_B. Two chandeliers,00001,binary search|brute force|chinese remainder theorem|math|number theory
1525_D. Armchairs,00001,dp|flows|graph matchings|greedy
157_A. Game Outcome,00001,brute force
178_A1. Educational Game,00001,greedy
19_B. Checkout Assistant,00001,dp
223_C. Partial Sums,00001,combinatorics|math|number theory
248_A. Cupboards,00001,implementation
272_B. Dima and Sequence,00001,implementation|math
295_D. Greg and Caves,00001,combinatorics|dp
319_B. Psychos in a Line,00001,data structures|implementation
343_B. Alternating Current,00001,data structures|greedy|implementation
366_D. Dima and Trap Graph,00001,binary search|data structures|dfs and similar|dsu|shortest paths|two pointers
38_C. Blinds,00001,brute force
40_B. Repaintings,00001,math
438_A. The Child and Toy,00001,graphs|greedy|sortings
45_H. Road Problem,00001,graphs
483_B. Friends and Presents,00001,binary search|math
507_B. Amr and Pins,00001,geometry|math
556_C. Case of Matryoshkas,00001,implementation
582_A. GCD Table,00001,constructive algorithms|greedy|number theory
604_A. Uncowed Forces,00001,implementation
626_D. Jerry's Protest,00001,brute force|combinatorics|dp|probabilities
650_B. Image Preview,00001,binary search|brute force|dp|two pointers
675_E. Trains and Statistic,00001,data structures|dp|greedy
699_F. Limak and Shooting Points,00001,brute force|geometry|math
720_C. Homework,00001,constructive algorithms
741_E. Arpa’s abnormal DNA and Mehrdad’s deep interest,00001,data structures|string suffix structures
765_D. Artsem and Saunders,00001,constructive algorithms|dsu|math
789_A. Anastasia and pebbles,00001,implementation|math
80_C. Heroes,00001,brute force|implementation
835_A. Key races,00001,math
855_D. Rowena Ravenclaw's Diadem,00001,trees
87_B. Vasya and Types,00001,implementation|strings
903_D. Almost Difference,00001,data structures|math
925_E. May Holidays,00001,data structures|trees
954_F. Runner's Problem,00001,dp|matrices|sortings
980_E. The Number Games,00001,data structures|greedy|trees
9_E. Interesting Graph and Apples,00001,dfs and similar|dsu|graphs
p02548 AtCoder Beginner Contest 179 - A x B + C,00001,
p02679 AtCoder Beginner Contest 168 - ∙ (Bullet),00001,
p02807 Dwango Programming Contest 6th - Fusing Slimes,00001,
p02943 AtCoder Grand Contest 037 - Reversing and Concatenating,00001,
p03080 ExaWizards 2019 - Red or Blue,00001,
p03225 Tenka1 Programmer Contest - Equilateral,00001,
p03371 AtCoder Beginner Contest 095 - Half and Half,00001,
p03534 CODE FESTIVAL 2017 Final (Parallel) - Palindrome-phobia,00001,
p03694 AtCoder Beginner Contest 064 - Traveling AtCoDeer Problem,00001,
p03849 AtCoder Regular Contest 066 - Xor Sum,00001,
p04015 AtCoder Regular Contest 060 - Tak and Cards,00001,
p00100 Sale Result,00001,
p00232 Life Game,00001,
p00395 Maze and Items,00001,
p00610 Cleaning Robot 2,00001,
p00748 Pollock's conjecture,00001,
p00886 Towns along a Highway,00001,
p01017 Yu-kun Likes Rectangles,00001,
p01150 Eight Princes,00001,
p01289 Strange Couple,00001,
p01458 Kth Sentence,00001,
p01609 One,00001,
p01770 Arojam's Mask,00001,
p01904 Minimum Enclosing Rectangle,00001,
p02042 ABSum,00001,
p02185 Many Decimal Integers,00001,
p02327 Largest Rectangle,00001,
p02472 Addition of Big Integers,00001,
1011_A. Stages,00001,greedy|implementation|sortings
1036_B. Diagonal Walking v.2,00001,math
1059_A. Cashier,00001,implementation
1080_C. Masha and two friends,00001,implementation
10_B. Cinema Cashier,00001,dp|implementation
1121_A. Technogoblet of Fire,00001,implementation|sortings
1148_C. Crazy Diamond,00001,constructive algorithms|sortings
1169_E. And Reachability,00001,bitmasks|dp
1187_G. Gang Up,00001,flows|graphs
1206_F. Almost All,00001,constructive algorithms|trees
1225_B1. TV Subscriptions (Easy Version),00001,implementation
1249_D1. Too Many Segments (easy version),00001,greedy
1267_L. Lexicography,00001,constructive algorithms|strings
1290_A. Mind Control,00001,brute force|data structures|implementation
1310_B. Double Elimination,00001,dp|implementation
1332_G. No Monotone Triples,00001,data structures
1353_C. Board Moves,00001,math
1373_B. 01 Game,00001,games
1396_A. Multiples of Length,00001,constructive algorithms|greedy|number theory
141_C. Queue,00001,constructive algorithms|greedy|sortings
1438_C. Engineer Artem,00001,2-sat|chinese remainder theorem|constructive algorithms|fft|flows
1463_B. Find The Array,00001,bitmasks|constructive algorithms|greedy
148_B. Escape,00001,implementation|math
1511_F. Chainword,00001,brute force|data structures|dp|matrices|string suffix structures|strings
1539_D. PriceFixed,00001,binary search|greedy|implementation|sortings|two pointers
166_A. Rank List,00001,binary search|implementation|sortings
187_B. AlgoRace,00001,dp|shortest paths
207_D9. The Beaver's Problem - 3,00001,
233_C. Cycles,00001,binary search|constructive algorithms|graphs|greedy
259_B. Little Elephant and Magic Square,00001,brute force|implementation
282_B. Painting Eggs,00001,greedy|math
305_A. Strange Addition,00001,brute force|constructive algorithms|implementation
331_A2. Oh Sweet Beaverette,00001,data structures|sortings
352_E. Jeff and Brackets,00001,dp|matrices
377_A. Maze,00001,dfs and similar
399_C. Cards,00001,constructive algorithms|implementation
421_D. Bug in Code,00001,binary search|data structures|sortings
448_B. Suffix Structures,00001,implementation|strings
46_C. Hamsters and Tigers,00001,two pointers
492_D. Vanya and Computer Game,00001,binary search|implementation|math|sortings
516_C. Drazil and Park,00001,data structures
543_C. Remembering Strings,00001,bitmasks|dp
56_E. Domino Principle,00001,binary search|data structures|sortings
591_C. Median Smoothing,00001,implementation
613_A. Peter and Snow Blower,00001,binary search|geometry|ternary search
633_A. Ebony and Ivory,00001,brute force|math|number theory
685_D. Kay and Eternity,00001,brute force|implementation|sortings
708_C. Centroids,00001,data structures|dfs and similar|dp|graphs|greedy|trees
750_F. New Year and Finding Roots,00001,constructive algorithms|implementation|interactive|trees
774_D. Lie or Truth,00001,*special|constructive algorithms|sortings
799_D. Field expansion,00001,brute force|dp|meet-in-the-middle
819_D. Mister B and Astronomers,00001,number theory
845_B. Luba And The Ticket,00001,brute force|greedy|implementation
865_D. Buy Low Sell High,00001,constructive algorithms|data structures|greedy
891_D. Sloth,00001,dfs and similar|dp|graph matchings|trees
913_G. Power Substring,00001,math|number theory
936_A. Save Energy!,00001,binary search|implementation|math
961_F. k-substrings,00001,binary search|hashing|string suffix structures
989_E. A Trance of Nightfall,00001,dp|geometry|matrices|probabilities
p02603 M-SOLUTIONS Programming Contest 2020 - Road to Millionaire,00001,
p02734 AtCoder Beginner Contest 159 - Knapsack for All Segments,00001,
p02868 NIKKEI Programming Contest 2019-2 - Shortest Path on a Line,00001,
p03003 AtCoder Beginner Contest 130 - Common Subsequence,00001,
p03143 NIKKEI Programming Contest 2019 - Weights on Vertices and Edges,00001,
p03287 AtCoder Beginner Contest 105 - Candy Distribution,00001,
p03443 AtCoder Petrozavodsk Contest 001 - Colorful Doors,00001,
p03603 AtCoder Regular Contest 083 - Bichrome Tree,00001,
p03762 AtCoder Beginner Contest 058 - ###,00001,
p03932 square869120Contest #3 - Souvenirs,00001,
p00025 Hit and Blow,00001,
p00156 Moats around the Castle,00001,
p00313 Secret Investigation,00001,
p00483 Planetary Exploration,00001,
p00669 K Cards,00001,
p00812 Equals are Equals,00001,
p00943 Routing a Marathon Race,00001,
p01076 Graph Making,00001,
p01210 Speed,00001,
p01346 Ropeway,00001,
p01516 Milky Way,00001,
p01684 Venn Diagram,00001,
p01828 M and A,00001,
p01963 Separate String,00001,
p02110 Settler,00001,
p02250 Multiple String Matching,00001,
p02398 How Many Divisors?,00001,
1016_C. Vasya And The Mushrooms,00001,dp|implementation
103_C. Russian Roulette,00001,constructive algorithms|greedy
1062_D. Fun with Integers,00001,dfs and similar|graphs|implementation|math
1084_C. The Fair Nut and String,00001,combinatorics|dp|implementation
1103_E. Radix sum,00001,fft|math|number theory
1131_E. String Multiplication,00001,dp|greedy|strings
1152_A. Neko Finds Grapes,00001,greedy|implementation|math
1173_E2. Nauuo and Pictures (hard version),00001,dp|probabilities
1191_C. Tokitsukaze and Discard Items,00001,implementation|two pointers
120_C. Winnie-the-Pooh and honey,00001,implementation|math
1230_A. Dawid and Bags of Candies,00001,brute force|implementation
1251_E1. Voting (Easy Version),00001,data structures|dp|greedy
1271_C. Shawarma Tent,00001,brute force|geometry|greedy|implementation
1294_D. MEX maximizing,00001,data structures|greedy|implementation|math
1315_D. Recommendations,00001,data structures|greedy|sortings
1336_F. Journey,00001,data structures|divide and conquer|graphs|trees
1359_D. Yet Another Yet Another Task,00001,data structures|dp|implementation|two pointers
1379_F1. Chess Strikes Back (easy version),00001,binary search|data structures
139_D. Digits Permutations,00001,greedy
1423_H. Virus,00001,data structures|divide and conquer|dsu|graphs
1443_A. Kids Seating,00001,constructive algorithms|math
1468_J. Road Reform,00001,dsu|graphs|greedy
1493_C. K-beautiful Strings,00001,binary search|brute force|constructive algorithms|greedy|strings
1515_I. Phoenix and Diamonds,00001,binary search|data structures|sortings
1543_B. Customising the Track,00001,combinatorics|greedy|math
171_C. A Piece of Cake,00001,*special|implementation
191_A. Dynasty Puzzles,00001,dp
215_A. Bicycle Chain,00001,brute force|implementation
239_A. Two Bags of Potatoes,00001,greedy|implementation|math
263_D. Cycle in Graph,00001,dfs and similar|graphs
287_D. Shifting,00001,implementation
312_D. Cats Transport,00001,data structures|dp
335_B. Palindrome,00001,constructive algorithms|dp
358_B. Dima and Text Messages,00001,brute force|strings
381_A. Sereja and Dima,00001,greedy|implementation|two pointers
401_E. Olympic Games,00001,math
42_A. Guilty — to the kitchen!,00001,greedy|implementation
451_D. Count Good Substrings,00001,math
474_C. Captain Marmot,00001,brute force|geometry
