sample_id,model,generation,batch,problem_key,error_id,severity,cwe,message
human/soln1/00000/0172_1081_D._Maximum_Distance,human,soln1,00000,1081 d maximum distance,useStlAlgorithm,style,398,Consider using std::find_if algorithm instead of a raw loop.
human/soln1/00000/0172_1081_D._Maximum_Distance,human,soln1,00000,1081 d maximum distance,unreadVariable,style,563,Variable 'cost' is assigned a value that is never used.
human/soln1/00000/0172_1081_D._Maximum_Distance,human,soln1,00000,1081 d maximum distance,unreadVariable,style,563,Variable 'cost' is assigned a value that is never used.
human/soln1/00000/0061_p03153_KEYENCE_Programming_Contest_2019_-_Connecting_Cities,human,soln1,00000,p03153 keyence programming contest 2019 connecting cities,uninitvar,warning,457,Uninitialized variable: pos
human/soln1/00000/0150_p03819_AtCoder_Regular_Contest_068_-_Snuke_Line,human,soln1,00000,p03819 atcoder regular contest 068 snuke line,arrayIndexOutOfBoundsCond,warning,788,"Either the condition 'i>0' is redundant or the array 'bit[100006]' is accessed at index 100006, which is out of bounds."
human/soln1/00000/0101_1446_D2._Frequency_Problem__Hard_Version_,human,soln1,00000,1446 d2 frequency problem hard version,containerOutOfBounds,error,398,Out of bounds access in expression 'modus[0]' because 'modus' is empty.
human/soln1/00000/0163_p01738_Gravity_Point,human,soln1,00000,p01738 gravity point,invalidscanf,warning,119,scanf() without field width limits can crash with huge input data.
human/soln1/00000/0163_p01738_Gravity_Point,human,soln1,00000,p01738 gravity point,passedByValue,performance,398,Function parameter 's' should be passed by const reference.
human/soln1/00000/0163_p01738_Gravity_Point,human,soln1,00000,p01738 gravity point,passedByValue,performance,398,Function parameter 't' should be passed by const reference.
human/soln1/00000/0053_915_A._Garden,human,soln1,00000,915 a garden,uninitvar,warning,457,Uninitialized variable: result
human/soln1/00000/0053_915_A._Garden,human,soln1,00000,915 a garden,legacyUninitvar,error,457,Uninitialized variable: result
human/soln1/00000/0140_977_B._Two-gram,human,soln1,00000,977 b two gram,constVariableReference,style,398,Variable 'ele' can be declared as reference to const
human/soln1/00000/0026_260_B._Ancient_Prophesy,human,soln1,00000,260 b ancient prophesy,getsCalled,warning,477,Obsolete function 'gets' called. It is recommended to use 'fgets' or 'gets_s' instead.
human/soln1/00000/0107_195_A._Let_s_Watch_Football,human,soln1,00000,195 a let s watch football,unreadVariable,style,563,Variable 'fin' is assigned a value that is never used.
human/soln1/00000/0107_195_A._Let_s_Watch_Football,human,soln1,00000,195 a let s watch football,unreadVariable,style,563,Variable 'fin' is assigned a value that is never used.
human/soln1/00000/0227_p02741_Panasonic_Programming_Contest_2020_-_Kth_Term,human,soln1,00000,p02741 panasonic programming contest 2020 kth term,constVariable,style,398,Variable 'a' can be declared as const array
human/soln1/00000/0201_39_E._What_Has_Dirichlet_Got_to_Do_with_That_,human,soln1,00000,39 e what has dirichlet got to do with that,unpreciseMathCall,style,758,Expression 'log(1 + x)' can be replaced by 'log1p(x)' to avoid loss of precision.
human/soln1/00000/0201_39_E._What_Has_Dirichlet_Got_to_Do_with_That_,human,soln1,00000,39 e what has dirichlet got to do with that,shadowVariable,style,398,Local variable 'ret' shadows outer variable
human/soln1/00000/0127_670_B._Game_of_Robots,human,soln1,00000,670 b game of robots,unusedVariable,style,563,Unused variable: res
human/soln1/00000/0071_p00680_KND_Factory,human,soln1,00000,p00680 knd factory,noExplicitConstructor,style,398,Struct 'Graph' has a constructor with 1 argument that is not explicit.
human/soln1/00000/0216_774_K._Stepan_and_Vowels,human,soln1,00000,774 k stepan and vowels,getsCalled,warning,477,Obsolete function 'gets' called. It is recommended to use 'fgets' or 'gets_s' instead.
human/soln1/00000/0216_774_K._Stepan_and_Vowels,human,soln1,00000,774 k stepan and vowels,getsCalled,warning,477,Obsolete function 'gets' called. It is recommended to use 'fgets' or 'gets_s' instead.
human/soln1/00000/0243_p01083_RedBlue,human,soln1,00000,p01083 redblue,variableScope,style,398,The scope of the variable 'ret' can be reduced.
human/soln1/00000/0243_p01083_RedBlue,human,soln1,00000,p01083 redblue,constVariableReference,style,398,Variable 'e' can be declared as reference to const
human/soln1/00000/0257_1096_E._The_Top_Scorer,human,soln1,00000,1096 e the top scorer,knownConditionTrueFalse,style,571,Condition 'cnt' is always true
human/soln1/00000/0257_1096_E._The_Top_Scorer,human,soln1,00000,1096 e the top scorer,zerodiv,error,369,Division by zero.
human/soln1/00000/0257_1096_E._The_Top_Scorer,human,soln1,00000,1096 e the top scorer,zerodiv,error,369,Division by zero.
human/soln1/00000/0261_1184_B3._The_Doctor_Meets_Vader__Hard_,human,soln1,00000,1184 b3 the doctor meets vader hard,shadowVariable,style,398,Local variable 'b' shadows outer variable
human/soln1/00000/0261_1184_B3._The_Doctor_Meets_Vader__Hard_,human,soln1,00000,1184 b3 the doctor meets vader hard,shadowVariable,style,398,Local variable 'g' shadows outer variable
human/soln1/00000/0261_1184_B3._The_Doctor_Meets_Vader__Hard_,human,soln1,00000,1184 b3 the doctor meets vader hard,shadowVariable,style,398,Local variable 'b' shadows outer variable
human/soln1/00000/0261_1184_B3._The_Doctor_Meets_Vader__Hard_,human,soln1,00000,1184 b3 the doctor meets vader hard,constVariableReference,style,398,Variable 'u' can be declared as reference to const
human/soln1/00000/0261_1184_B3._The_Doctor_Meets_Vader__Hard_,human,soln1,00000,1184 b3 the doctor meets vader hard,unreadVariable,style,563,Variable 'cnt' is assigned a value that is never used.
human/soln1/00000/0079_p01838_Optimal_Tournament,human,soln1,00000,p01838 optimal tournament,cstyleCast,style,398,C-style pointer casting
human/soln1/00000/0079_p01838_Optimal_Tournament,human,soln1,00000,p01838 optimal tournament,cstyleCast,style,398,C-style pointer casting
human/soln1/00000/0079_p01838_Optimal_Tournament,human,soln1,00000,p01838 optimal tournament,unreadVariable,style,563,Variable 'ans' is assigned a value that is never used.
human/soln1/00000/0079_p01838_Optimal_Tournament,human,soln1,00000,p01838 optimal tournament,unreadVariable,style,563,Variable 'ans' is assigned a value that is never used.
human/soln1/00000/0212_687_A._NP-Hard_Problem,human,soln1,00000,687 a np hard problem,variableScope,style,398,The scope of the variable 'now' can be reduced.
human/soln1/00000/0129_716_D._Complete_The_Graph,human,soln1,00000,716 d complete the graph,noExplicitConstructor,style,398,Struct 'Edge' has a constructor with 1 argument that is not explicit.
human/soln1/00000/0070_p00493_Zig-Zag_Numbers,human,soln1,00000,p00493 zig zag numbers,timeout,,,Analysis timed out
human/soln1/00000/0205_518_E._Arthur_and_Questions,human,soln1,00000,518 e arthur and questions,invalidscanf,warning,119,scanf() without field width limits can crash with huge input data.
human/soln1/00000/0205_518_E._Arthur_and_Questions,human,soln1,00000,518 e arthur and questions,shadowVariable,style,398,Local variable 'p' shadows outer variable
human/soln1/00000/0234_p03771_AtCoder_Grand_Contest_012_-_Camel_and_Oases,human,soln1,00000,p03771 atcoder grand contest 012 camel and oases,shadowVariable,style,398,Local variable 'i' shadows outer variable
human/soln1/00000/0055_963_B._Destruction_of_a_Tree,human,soln1,00000,963 b destruction of a tree,iterateByValue,performance,398,Range variable 'comp' should be declared as const reference.
human/soln1/00000/0055_963_B._Destruction_of_a_Tree,human,soln1,00000,963 b destruction of a tree,useStlAlgorithm,style,398,Consider using std::accumulate algorithm instead of a raw loop.
human/soln1/00000/0080_p01974_Pigeonhole_principle,human,soln1,00000,p01974 pigeonhole principle,passedByValue,performance,398,Function parameter 'V' should be passed by const reference.
human/soln1/00000/0080_p01974_Pigeonhole_principle,human,soln1,00000,p01974 pigeonhole principle,passedByValue,performance,398,Function parameter 'Mat' should be passed by const reference.
human/soln1/00000/0080_p01974_Pigeonhole_principle,human,soln1,00000,p01974 pigeonhole principle,passedByValue,performance,398,Function parameter 'mp' should be passed by const reference.
human/soln1/00000/0120_500_C._New_Year_Book_Reading,human,soln1,00000,500 c new year book reading,shadowVariable,style,398,Local variable 'w' shadows outer variable
human/soln1/00000/0047_776_A._A_Serial_Killer,human,soln1,00000,776 a a serial killer,knownConditionTrueFalse,style,570,Condition 'i==n' is always false
human/soln1/00000/0253_1007_E._Mini_Metro,human,soln1,00000,1007 e mini metro,unreadVariable,style,563,Variable 'mn' is assigned a value that is never used.
human/soln1/00000/0253_1007_E._Mini_Metro,human,soln1,00000,1007 e mini metro,unreadVariable,style,563,Variable 'mn' is assigned a value that is never used.
human/soln1/00000/0100_1424_N._BubbleSquare_Tokens,human,soln1,00000,1424 n bubblesquare tokens,ignoredReturnValue,warning,252,Return value of function std::freopen() is not used.
human/soln1/00000/0100_1424_N._BubbleSquare_Tokens,human,soln1,00000,1424 n bubblesquare tokens,ignoredReturnValue,warning,252,Return value of function std::freopen() is not used.
human/soln1/00000/0100_1424_N._BubbleSquare_Tokens,human,soln1,00000,1424 n bubblesquare tokens,noExplicitConstructor,style,398,Struct 'Vector' has a constructor with 1 argument that is not explicit.
human/soln1/00000/0100_1424_N._BubbleSquare_Tokens,human,soln1,00000,1424 n bubblesquare tokens,selfAssignment,style,398,Redundant assignment of 'x' to itself.
human/soln1/00000/0100_1424_N._BubbleSquare_Tokens,human,soln1,00000,1424 n bubblesquare tokens,selfAssignment,style,398,Redundant assignment of 'x' to itself.
human/soln1/00000/0100_1424_N._BubbleSquare_Tokens,human,soln1,00000,1424 n bubblesquare tokens,shadowVariable,style,398,Local variable 's' shadows outer variable
human/soln1/00000/0100_1424_N._BubbleSquare_Tokens,human,soln1,00000,1424 n bubblesquare tokens,passedByValue,performance,398,Function parameter 'x' should be passed by const reference.
human/soln1/00000/0100_1424_N._BubbleSquare_Tokens,human,soln1,00000,1424 n bubblesquare tokens,passedByValue,performance,398,Function parameter 'str' should be passed by const reference.
human/soln1/00000/0100_1424_N._BubbleSquare_Tokens,human,soln1,00000,1424 n bubblesquare tokens,constVariablePointer,style,398,Variable 'p2' can be declared as pointer to const
human/soln1/00000/0029_331_E2._Deja_Vu,human,soln1,00000,331 e2 deja vu,constVariableReference,style,398,Variable 'nL' can be declared as reference to const
human/soln1/00000/0029_331_E2._Deja_Vu,human,soln1,00000,331 e2 deja vu,constVariableReference,style,398,Variable 'L' can be declared as reference to const
human/soln1/00000/0029_331_E2._Deja_Vu,human,soln1,00000,331 e2 deja vu,constVariableReference,style,398,Variable 'L' can be declared as reference to const
human/soln1/00000/0029_331_E2._Deja_Vu,human,soln1,00000,331 e2 deja vu,constVariableReference,style,398,Variable 'L' can be declared as reference to const
human/soln1/00000/0125_621_D._Rat_Kwesh_and_Cheese,human,soln1,00000,621 d rat kwesh and cheese,useStlAlgorithm,style,398,Consider using std::transform algorithm instead of a raw loop.
human/soln1/00000/0246_p01535_Markup_language_has_Declined,human,soln1,00000,p01535 markup language has declined,noExplicitConstructor,style,398,Struct 'Node' has a constructor with 1 argument that is not explicit.
human/soln1/00000/0246_p01535_Markup_language_has_Declined,human,soln1,00000,p01535 markup language has declined,invalidscanf,warning,119,sscanf() without field width limits can crash with huge input data.
human/soln1/00000/0246_p01535_Markup_language_has_Declined,human,soln1,00000,p01535 markup language has declined,shadowVariable,style,398,Local variable '_' shadows outer variable
human/soln1/00000/0025_235_D._Graph_Game,human,soln1,00000,235 d graph game,constVariablePointer,style,398,Variable 'e' can be declared as pointer to const
human/soln1/00000/0049_820_D._Mister_B_and_PR_Shifts,human,soln1,00000,820 d mister b and pr shifts,shadowVariable,style,398,Local variable 'l' shadows outer variable
human/soln1/00000/0049_820_D._Mister_B_and_PR_Shifts,human,soln1,00000,820 d mister b and pr shifts,constVariablePointer,style,398,Variable 'l' can be declared as pointer to const
human/soln1/00000/0254_1030_E._Vasya_and_Good_Sequences,human,soln1,00000,1030 e vasya and good sequences,unreadVariable,style,563,Variable 'add' is assigned a value that is never used.
human/soln1/00000/0254_1030_E._Vasya_and_Good_Sequences,human,soln1,00000,1030 e vasya and good sequences,unreadVariable,style,563,Variable 'ans' is assigned a value that is never used.
human/soln1/00000/0254_1030_E._Vasya_and_Good_Sequences,human,soln1,00000,1030 e vasya and good sequences,unreadVariable,style,563,Variable 'add' is assigned a value that is never used.
human/soln1/00000/0254_1030_E._Vasya_and_Good_Sequences,human,soln1,00000,1030 e vasya and good sequences,unreadVariable,style,563,Variable 'ans' is assigned a value that is never used.
human/soln1/00000/0113_339_A._Helpful_Maths,human,soln1,00000,339 a helpful maths,unusedVariable,style,563,Unused variable: x
human/soln1/00000/0113_339_A._Helpful_Maths,human,soln1,00000,339 a helpful maths,unusedVariable,style,563,Unused variable: z
human/soln1/00000/0215_754_B._Ilya_and_tic-tac-toe_game,human,soln1,00000,754 b ilya and tic tac toe game,timeout,,,Analysis timed out
human/soln1/00000/0095_1277_E._Two_Fairs,human,soln1,00000,1277 e two fairs,uninitvar,warning,457,Uninitialized variable: arr
human/soln1/00000/0214_730_G._Car_Repair_Shop,human,soln1,00000,730 g car repair shop,postfixOperator,performance,398,Prefer prefix ++/-- operators for non-primitive types.
human/soln1/00000/0214_730_G._Car_Repair_Shop,human,soln1,00000,730 g car repair shop,postfixOperator,performance,398,Prefer prefix ++/-- operators for non-primitive types.
human/soln1/00000/0249_p01970_The_Diversity_of_Prime_Factorization,human,soln1,00000,p01970 the diversity of prime factorization,knownConditionTrueFalse,style,571,Condition 'i>0' is always true
human/soln1/00000/0249_p01970_The_Diversity_of_Prime_Factorization,human,soln1,00000,p01970 the diversity of prime factorization,knownConditionTrueFalse,style,571,Condition 'i>0' is always true
human/soln1/00000/0249_p01970_The_Diversity_of_Prime_Factorization,human,soln1,00000,p01970 the diversity of prime factorization,variableScope,style,398,The scope of the variable 'f2' can be reduced.
human/soln1/00000/0249_p01970_The_Diversity_of_Prime_Factorization,human,soln1,00000,p01970 the diversity of prime factorization,unreadVariable,style,563,Variable 'res' is assigned a value that is never used.
human/soln1/00000/0249_p01970_The_Diversity_of_Prime_Factorization,human,soln1,00000,p01970 the diversity of prime factorization,unreadVariable,style,563,Variable 'res' is assigned a value that is never used.
human/soln1/00000/0130_737_A._Road_to_Cinema,human,soln1,00000,737 a road to cinema,shadowVariable,style,398,Local variable 'm' shadows outer variable
human/soln1/00000/0041_634_C._Factory_Repairs,human,soln1,00000,634 c factory repairs,knownConditionTrueFalse,style,571,Condition 'v==l' is always true
human/soln1/00000/0076_p01356_Nearest_Station,human,soln1,00000,p01356 nearest station,compareValueOutOfTypeRangeError,style,398,Comparing expression of type 'signed int' against value 9223372036854775807. Condition is always false.
human/soln1/00000/0076_p01356_Nearest_Station,human,soln1,00000,p01356 nearest station,shadowVariable,style,398,Local variable 'P' shadows outer variable
human/soln1/00000/0019_1466_F._Euclid_s_nightmare,human,soln1,00000,1466 f euclid s nightmare,knownConditionTrueFalse,style,571,Condition 'x!=y' is always true
human/soln1/00000/0138_920_E._Connected_Components_,human,soln1,00000,920 e connected components,postfixOperator,performance,398,Prefer prefix ++/-- operators for non-primitive types.
human/soln1/00000/0138_920_E._Connected_Components_,human,soln1,00000,920 e connected components,postfixOperator,performance,398,Prefer prefix ++/-- operators for non-primitive types.
human/soln1/00000/0138_920_E._Connected_Components_,human,soln1,00000,920 e connected components,postfixOperator,performance,398,Prefer prefix ++/-- operators for non-primitive types.
human/soln1/00000/0138_920_E._Connected_Components_,human,soln1,00000,920 e connected components,postfixOperator,performance,398,Prefer prefix ++/-- operators for non-primitive types.
human/soln1/00000/0073_p00953_Animal_Companion_in_Maze,human,soln1,00000,p00953 animal companion in maze,noExplicitConstructor,style,398,Struct 'UnionFind' has a constructor with 1 argument that is not explicit.
human/soln1/00000/0073_p00953_Animal_Companion_in_Maze,human,soln1,00000,p00953 animal companion in maze,constVariableReference,style,398,Variable 'e' can be declared as reference to const
human/soln1/00000/0073_p00953_Animal_Companion_in_Maze,human,soln1,00000,p00953 animal companion in maze,constVariableReference,style,398,Variable 'e' can be declared as reference to const
human/soln1/00000/0073_p00953_Animal_Companion_in_Maze,human,soln1,00000,p00953 animal companion in maze,useStlAlgorithm,style,398,Consider using std::copy_if algorithm instead of a raw loop.
human/soln1/00000/0200_378_C._Maze,human,soln1,00000,378 c maze,shadowVariable,style,398,Local variable 'k' shadows outer variable
human/soln1/00000/0015_1374_E1._Reading_Books__easy_version_,human,soln1,00000,1374 e1 reading books easy version,useStlAlgorithm,style,398,Consider using std::copy algorithm instead of a raw loop.
human/soln1/00000/0248_p01835_Donut_Decoration,human,soln1,00000,p01835 donut decoration,noExplicitConstructor,style,398,Struct 'SegmentTree' has a constructor with 1 argument that is not explicit.
human/soln1/00000/0117_433_A._Kitahara_Haruki_s_Gift,human,soln1,00000,433 a kitahara haruki s gift,variableScope,style,398,The scope of the variable 'x' can be reduced.
human/soln1/00000/0117_433_A._Kitahara_Haruki_s_Gift,human,soln1,00000,433 a kitahara haruki s gift,variableScope,style,398,The scope of the variable 'y' can be reduced.
human/soln1/00000/0117_433_A._Kitahara_Haruki_s_Gift,human,soln1,00000,433 a kitahara haruki s gift,variableScope,style,398,The scope of the variable 'z' can be reduced.
human/soln1/00000/0133_805_A._Fake_NP,human,soln1,00000,805 a fake np,useStlAlgorithm,style,398,Consider using std::accumulate algorithm instead of a raw loop.
human/soln1/00000/0133_805_A._Fake_NP,human,soln1,00000,805 a fake np,useStlAlgorithm,style,398,Consider using std::find_if algorithm instead of a raw loop.
human/soln1/00000/0133_805_A._Fake_NP,human,soln1,00000,805 a fake np,postfixOperator,performance,398,Prefer prefix ++/-- operators for non-primitive types.
human/soln1/00000/0133_805_A._Fake_NP,human,soln1,00000,805 a fake np,postfixOperator,performance,398,Prefer prefix ++/-- operators for non-primitive types.
human/soln1/00000/0010_1269_E._K_Integers,human,soln1,00000,1269 e k integers,shadowVariable,style,398,Local variable 'ans' shadows outer variable
human/soln1/00000/0010_1269_E._K_Integers,human,soln1,00000,1269 e k integers,passedByValue,performance,398,Function parameter 'a' should be passed by const reference.
human/soln1/00000/0010_1269_E._K_Integers,human,soln1,00000,1269 e k integers,passedByValue,performance,398,Function parameter 'b' should be passed by const reference.
human/soln1/00000/0010_1269_E._K_Integers,human,soln1,00000,1269 e k integers,constParameterPointer,style,398,Parameter 'c' can be declared as pointer to const
human/soln1/00000/0134_830_A._Office_Keys,human,soln1,00000,830 a office keys,functionStatic,style,398,The member function 'A830::cost' can be static.
human/soln1/00000/0085_1043_A._Elections,human,soln1,00000,1043 a elections,useStlAlgorithm,style,398,Consider using std::accumulate algorithm instead of a raw loop.
human/soln1/00000/0022_1540_C1._Converging_Array__Easy_Version_,human,soln1,00000,1540 c1 converging array easy version,variableScope,style,398,The scope of the variable 'ans' can be reduced.
human/soln1/00000/0035_494_D._Birthday,human,soln1,00000,494 d birthday,noExplicitConstructor,style,398,Struct 'hashInt' has a constructor with 1 argument that is not explicit.
human/soln1/00000/0035_494_D._Birthday,human,soln1,00000,494 d birthday,shadowVariable,style,398,Local variable 'p' shadows outer variable
human/soln1/00000/0035_494_D._Birthday,human,soln1,00000,494 d birthday,shadowVariable,style,398,Local variable 'p' shadows outer variable
human/soln1/00000/0035_494_D._Birthday,human,soln1,00000,494 d birthday,shadowVariable,style,398,Local variable 'ans' shadows outer variable
human/soln1/00000/0035_494_D._Birthday,human,soln1,00000,494 d birthday,unreadVariable,style,563,Variable 'id' is assigned a value that is never used.
human/soln1/00000/0035_494_D._Birthday,human,soln1,00000,494 d birthday,unreadVariable,style,563,Variable 'b' is assigned a value that is never used.
human/soln1/00000/0035_494_D._Birthday,human,soln1,00000,494 d birthday,unreadVariable,style,563,Variable 'id' is assigned a value that is never used.
human/soln1/00000/0244_p01219_Private_Teacher,human,soln1,00000,p01219 private teacher,invalidscanf,warning,119,scanf() without field width limits can crash with huge input data.
human/soln1/00000/0122_551_B._ZgukistringZ,human,soln1,00000,551 b zgukistringz,noExplicitConstructor,style,398,Struct 'str' has a constructor with 1 argument that is not explicit.
human/soln1/00000/0122_551_B._ZgukistringZ,human,soln1,00000,551 b zgukistringz,passedByValue,performance,398,Function parameter 's' should be passed by const reference.
human/soln1/00000/0122_551_B._ZgukistringZ,human,soln1,00000,551 b zgukistringz,constParameterReference,style,398,Parameter 'a' can be declared as reference to const
human/soln1/00000/0122_551_B._ZgukistringZ,human,soln1,00000,551 b zgukistringz,constParameterReference,style,398,Parameter 'b' can be declared as reference to const
human/soln1/00000/0122_551_B._ZgukistringZ,human,soln1,00000,551 b zgukistringz,constParameterReference,style,398,Parameter 'c' can be declared as reference to const
human/soln1/00000/0182_1311_C._Perform_the_Combo,human,soln1,00000,1311 c perform the combo,arrayIndexThenCheck,style,398,Array index 'sci' is used before limits check.
human/soln1/00000/0182_1311_C._Perform_the_Combo,human,soln1,00000,1311 c perform the combo,invalidPrintfArgType_sint,warning,686,%d in format string (no. 1) requires 'int' but the argument type is 'long long'.
human/soln1/00000/0182_1311_C._Perform_the_Combo,human,soln1,00000,1311 c perform the combo,invalidscanf,warning,119,scanf() without field width limits can crash with huge input data.
human/soln1/00000/0039_593_C._Beautiful_Function,human,soln1,00000,593 c beautiful function,constParameterReference,style,398,Parameter 'xs' can be declared as reference to const
human/soln1/00000/0272_1413_F._Roads_and_Ramen,human,soln1,00000,1413 f roads and ramen,shadowVariable,style,398,Local variable 'a' shadows outer variable
human/soln1/00000/0024_20_B._Equation,human,soln1,00000,20 b equation,variableScope,style,398,The scope of the variable 'D' can be reduced.
human/soln1/00000/0024_20_B._Equation,human,soln1,00000,20 b equation,variableScope,style,398,The scope of the variable 'x1' can be reduced.
human/soln1/00000/0024_20_B._Equation,human,soln1,00000,20 b equation,variableScope,style,398,The scope of the variable 'x2' can be reduced.
human/soln1/00000/0245_p01353_Rabbit_Plays_Games_,human,soln1,00000,p01353 rabbit plays games,knownConditionTrueFalse,style,571,Condition 'e.a-M.d<=0' is always true
human/soln1/00000/0245_p01353_Rabbit_Plays_Games_,human,soln1,00000,p01353 rabbit plays games,constParameterReference,style,398,Parameter 'ene' can be declared as reference to const
human/soln1/00000/0021_1513_C._Add_One,human,soln1,00000,1513 c add one,noExplicitConstructor,style,398,Struct 'ModInt < mod >' has a constructor with 1 argument that is not explicit.
human/soln1/00000/0021_1513_C._Add_One,human,soln1,00000,1513 c add one,shadowVariable,style,398,Local variable 'res' shadows outer variable
human/soln1/00000/0021_1513_C._Add_One,human,soln1,00000,1513 c add one,useStlAlgorithm,style,398,Consider using std::accumulate algorithm instead of a raw loop.
human/soln1/00000/0190_1490_D._Permutation_Transformation,human,soln1,00000,1490 d permutation transformation,passedByValue,performance,398,Function parameter 'v' should be passed by const reference.
human/soln1/00000/0199_354_B._Game_with_Strings,human,soln1,00000,354 b game with strings,invalidscanf,warning,119,scanf() without field width limits can crash with huge input data.
human/soln1/00000/0040_615_A._Bulbs,human,soln1,00000,615 a bulbs,shadowVariable,style,398,Local variable 'i' shadows outer variable
human/soln1/00000/0040_615_A._Bulbs,human,soln1,00000,615 a bulbs,useStlAlgorithm,style,398,Consider using std::any_of algorithm instead of a raw loop.
human/soln1/00000/0126_643_B._Bear_and_Two_Paths,human,soln1,00000,643 b bear and two paths,unusedVariable,style,563,Unused variable: middle_vertices
human/soln1/00000/0256_1075_D._Intersecting_Subtrees,human,soln1,00000,1075 d intersecting subtrees,shadowVariable,style,398,Local variable 'x' shadows outer variable
human/soln1/00000/0256_1075_D._Intersecting_Subtrees,human,soln1,00000,1075 d intersecting subtrees,uninitvar,warning,457,Uninitialized variable: st
human/soln1/00000/0256_1075_D._Intersecting_Subtrees,human,soln1,00000,1075 d intersecting subtrees,uninitvar,warning,457,Uninitialized variable: toCompare
human/soln1/00000/0256_1075_D._Intersecting_Subtrees,human,soln1,00000,1075 d intersecting subtrees,unusedStructMember,style,563,struct member 'node::id' is never used.
human/soln1/00000/0256_1075_D._Intersecting_Subtrees,human,soln1,00000,1075 d intersecting subtrees,unusedStructMember,style,563,struct member 'node::val' is never used.
human/soln1/00000/0256_1075_D._Intersecting_Subtrees,human,soln1,00000,1075 d intersecting subtrees,unusedStructMember,style,563,struct member 'node::dir' is never used.
human/soln1/00000/0255_1053_C._Putting_Boxes_Together,human,soln1,00000,1053 c putting boxes together,redundantAssignment,style,563,Variable 'pa' is assigned an expression that holds the same value.
human/soln1/00000/0213_709_E._Centroids,human,soln1,00000,709 e centroids,constParameterReference,style,398,Parameter 's' can be declared as reference to const
human/soln1/00000/0124_5_A._Chat_Server_s_Outgoing_Traffic,human,soln1,00000,5 a chat server s outgoing traffic,unreadVariable,style,563,Variable 't' is assigned a value that is never used.
human/soln1/00000/0188_1439_C._Greedy_Shopping,human,soln1,00000,1439 c greedy shopping,unreadVariable,style,563,Variable 'l' is assigned a value that is never used.
human/soln1/00000/0188_1439_C._Greedy_Shopping,human,soln1,00000,1439 c greedy shopping,unreadVariable,style,563,Variable 'r' is assigned a value that is never used.
human/soln1/00000/0188_1439_C._Greedy_Shopping,human,soln1,00000,1439 c greedy shopping,unreadVariable,style,563,Variable 'l' is assigned a value that is never used.
human/soln1/00000/0188_1439_C._Greedy_Shopping,human,soln1,00000,1439 c greedy shopping,unreadVariable,style,563,Variable 'r' is assigned a value that is never used.
human/soln1/00000/0222_914_F._Substrings_in_a_String,human,soln1,00000,914 f substrings in a string,invalidscanf,warning,119,scanf() without field width limits can crash with huge input data.
