model,generation,instruction_id,error_id,severity,cwe
human,soln1,0205,shadowVariable,style,398
human,soln1,0168,constParameterReference,style,398
human,soln1,0190,passedByValue,performance,398
human,soln1,0187,shadowVariable,style,398
human,soln1,0187,constVariableReference,style,398
human,soln1,0187,uninitvar,warning,457
human,soln1,0187,uninitvar,warning,457
human,soln1,0172,useStlAlgorithm,style,398
human,soln1,0172,unreadVariable,style,563
human,soln1,0172,unreadVariable,style,563
human,soln1,0254,unreadVariable,style,563
human,soln1,0254,unreadVariable,style,563
human,soln1,0254,unreadVariable,style,563
human,soln1,0254,unreadVariable,style,563
human,soln1,0216,getsCalled,warning,477
human,soln1,0216,getsCalled,warning,477
human,soln1,0249,knownConditionTrueFalse,style,571
human,soln1,0249,knownConditionTrueFalse,style,571
human,soln1,0249,variableScope,style,398
human,soln1,0249,unreadVariable,style,563
human,soln1,0249,unreadVariable,style,563
human,soln1,0046,invalidscanf,warning,119
human,soln1,0046,invalidscanf,warning,119
human,soln1,0272,shadowVariable,style,398
human,soln1,0247,noExplicitConstructor,style,398
human,soln1,0247,useStlAlgorithm,style,398
human,soln1,0200,shadowVariable,style,398
human,soln1,0243,uninitMemberVar,warning,398
human,soln1,0243,uninitMemberVar,warning,398
human,soln1,0243,uninitMemberVar,warning,398
human,soln1,0243,uninitMemberVar,warning,398
human,soln1,0243,uninitMemberVar,warning,398
human,soln1,0243,variableScope,style,398
human,soln1,0243,constVariableReference,style,398
human,soln1,0125,useStlAlgorithm,style,398
human,soln1,0027,internalAstError,error,
human,soln1,0150,arrayIndexOutOfBoundsCond,warning,788
human,soln1,0071,uninitMemberVar,warning,398
human,soln1,0071,uninitMemberVar,warning,398
human,soln1,0071,uninitMemberVar,warning,398
human,soln1,0071,uninitMemberVar,warning,398
human,soln1,0071,uninitMemberVar,warning,398
human,soln1,0071,noExplicitConstructor,style,398
human,soln1,0102,uninitMemberVar,warning,398
human,soln1,0102,shadowVariable,style,398
human,soln1,0179,passedByValue,performance,398
human,soln1,0179,useStlAlgorithm,style,398
human,soln1,0179,unusedVariable,style,563
human,soln1,0179,unusedVariable,style,563
human,soln1,0179,unusedVariable,style,563
human,soln1,0179,unusedVariable,style,563
human,soln1,0179,unusedVariable,style,563
human,soln1,0029,constVariableReference,style,398
human,soln1,0029,constVariableReference,style,398
human,soln1,0029,constVariableReference,style,398
human,soln1,0029,constVariableReference,style,398
human,soln1,0274,variableScope,style,398
human,soln1,0274,variableScope,style,398
human,soln1,0274,shiftNegativeLHS,portability,758
human,soln1,0274,shiftNegativeLHS,portability,758
human,soln1,0274,shiftNegativeLHS,portability,758
human,soln1,0055,iterateByValue,performance,398
human,soln1,0055,useStlAlgorithm,style,398
human,soln1,0035,uninitMemberVar,warning,398
human,soln1,0035,functionConst,style,398
human,soln1,0035,noExplicitConstructor,style,398
human,soln1,0035,shadowVariable,style,398
human,soln1,0035,shadowVariable,style,398
human,soln1,0035,shadowVariable,style,398
human,soln1,0035,unreadVariable,style,563
human,soln1,0035,unreadVariable,style,563
human,soln1,0035,unreadVariable,style,563
human,soln1,0222,invalidscanf,warning,119
human,soln1,0222,invalidscanf,warning,119
human,soln1,0222,shadowVariable,style,398
human,soln1,0222,shadowVariable,style,398
human,soln1,0073,noExplicitConstructor,style,398
human,soln1,0073,constVariableReference,style,398
human,soln1,0073,constVariableReference,style,398
human,soln1,0073,useStlAlgorithm,style,398
human,soln1,0053,uninitvar,warning,457
human,soln1,0053,legacyUninitvar,error,457
human,soln1,0039,constParameterReference,style,398
human,soln1,0025,constVariablePointer,style,398
human,soln1,0101,containerOutOfBounds,error,398
human,soln1,0242,shadowVariable,style,398
human,soln1,0242,shadowVariable,style,398
human,soln1,0242,passedByValue,performance,398
human,soln1,0242,passedByValue,performance,398
human,soln1,0242,useStlAlgorithm,style,398
human,soln1,0242,unreadVariable,style,563
human,soln1,0244,invalidscanf,warning,119
human,soln1,0130,shadowVariable,style,398
human,soln1,0040,shadowVariable,style,398
human,soln1,0040,useStlAlgorithm,style,398
human,soln1,0235,shadowVariable,style,398
human,soln1,0138,postfixOperator,performance,398
human,soln1,0138,postfixOperator,performance,398
human,soln1,0138,postfixOperator,performance,398
human,soln1,0138,postfixOperator,performance,398
human,soln1,0057,invalidscanf,warning,119
human,soln1,0100,ignoredReturnValue,warning,252
human,soln1,0100,ignoredReturnValue,warning,252
human,soln1,0100,noExplicitConstructor,style,398
human,soln1,0100,selfAssignment,style,398
human,soln1,0100,selfAssignment,style,398
human,soln1,0100,shadowVariable,style,398
human,soln1,0100,passedByValue,performance,398
human,soln1,0100,passedByValue,performance,398
human,soln1,0100,constVariablePointer,style,398
human,soln1,0049,shadowVariable,style,398
human,soln1,0049,constVariablePointer,style,398
human,soln1,0000,shadowVariable,style,398
human,soln1,0000,useStlAlgorithm,style,398
human,soln1,0260,useStlAlgorithm,style,398
human,soln1,0098,constVariablePointer,style,398
human,soln1,0019,knownConditionTrueFalse,style,571
human,soln1,0156,invalidscanf,warning,119
human,soln1,0156,unreadVariable,style,563
human,soln1,0156,unreadVariable,style,563
human,soln1,0075,useStlAlgorithm,style,398
human,soln1,0140,constVariableReference,style,398
human,soln1,0175,variableScope,style,398
human,soln1,0175,constStatement,warning,398
human,soln1,0175,passedByValue,performance,398
human,soln1,0175,passedByValue,performance,398
human,soln1,0002,useStlAlgorithm,style,398
human,soln1,0224,shadowVariable,style,398
human,soln1,0224,shadowVariable,style,398
human,soln1,0248,noExplicitConstructor,style,398
human,soln1,0213,constParameterReference,style,398
human,soln1,0136,shadowVariable,style,398
human,soln1,0015,useStlAlgorithm,style,398
human,soln1,0139,incompleteArrayFill,portability,131
human,soln1,0117,variableScope,style,398
human,soln1,0117,variableScope,style,398
human,soln1,0117,variableScope,style,398
human,soln1,0214,uninitMemberVar,warning,398
human,soln1,0214,uninitMemberVar,warning,398
human,soln1,0214,postfixOperator,performance,398
human,soln1,0214,postfixOperator,performance,398
human,soln1,0124,unreadVariable,style,563
human,soln1,0246,functionConst,style,398
human,soln1,0246,noExplicitConstructor,style,398
human,soln1,0246,invalidscanf,warning,119
human,soln1,0246,shadowVariable,style,398
human,soln1,0182,arrayIndexThenCheck,style,398
human,soln1,0182,invalidPrintfArgType_sint,warning,686
human,soln1,0182,invalidscanf,warning,119
human,soln1,0227,constVariable,style,398
human,soln1,0003,uninitMemberVar,warning,398
human,soln1,0003,uninitMemberVar,warning,398
human,soln1,0003,constVariablePointer,style,398
human,soln1,0003,constVariablePointer,style,398
human,soln1,0003,constVariablePointer,style,398
human,soln1,0047,knownConditionTrueFalse,style,570
human,soln1,0255,redundantAssignment,style,563
human,soln1,0253,unreadVariable,style,563
human,soln1,0253,unreadVariable,style,563
human,soln1,0005,variableScope,style,398
human,soln1,0038,functionConst,style,398
human,soln1,0038,noExplicitConstructor,style,398
human,soln1,0038,shadowVariable,style,398
human,soln1,0038,shadowVariable,style,398
human,soln1,0038,unreadVariable,style,563
human,soln1,0038,unreadVariable,style,563
human,soln1,0070,functionConst,style,398
human,soln1,0070,noExplicitConstructor,style,398
human,soln1,0070,noExplicitConstructor,style,398
human,soln1,0070,constParameterReference,style,398
human,soln1,0070,constParameterReference,style,398
human,soln1,0070,unreadVariable,style,563
human,soln1,0257,knownConditionTrueFalse,style,571
human,soln1,0257,zerodiv,error,369
human,soln1,0257,zerodiv,error,369
human,soln1,0014,memsetValueOutOfRange,warning,686
human,soln1,0014,memsetValueOutOfRange,warning,686
human,soln1,0014,incompleteArrayFill,portability,131
human,soln1,0095,incompleteArrayFill,portability,131
human,soln1,0095,incompleteArrayFill,portability,131
human,soln1,0095,uninitvar,warning,457
human,soln1,0127,unusedVariable,style,563
human,soln1,0109,noExplicitConstructor,style,398
human,soln1,0109,noExplicitConstructor,style,398
human,soln1,0109,noExplicitConstructor,style,398
human,soln1,0109,noExplicitConstructor,style,398
human,soln1,0109,invalidscanf,warning,119
human,soln1,0109,variableScope,style,398
human,soln1,0109,shadowVariable,style,398
human,soln1,0109,shadowVariable,style,398
human,soln1,0109,passedByValue,performance,398
human,soln1,0109,passedByValue,performance,398
human,soln1,0109,passedByValue,performance,398
human,soln1,0109,passedByValue,performance,398
human,soln1,0109,passedByValue,performance,398
human,soln1,0109,passedByValue,performance,398
human,soln1,0008,arrayIndexOutOfBoundsCond,warning,788
human,soln1,0008,functionConst,style,398
human,soln1,0008,knownConditionTrueFalse,style,571
human,soln1,0008,variableScope,style,398
human,soln1,0008,variableScope,style,398
human,soln1,0008,uninitvar,warning,457
human,soln1,0008,unusedVariable,style,563
human,soln1,0146,variableScope,style,398
human,soln1,0056,unusedVariable,style,563
human,soln1,0056,unusedVariable,style,563
human,soln1,0056,unusedVariable,style,563
human,soln1,0067,uninitMemberVar,warning,398
human,soln1,0067,uninitMemberVar,warning,398
human,soln1,0004,variableScope,style,398
human,soln1,0004,variableScope,style,398
human,soln1,0028,getsCalled,warning,477
human,soln1,0028,getsCalled,warning,477
human,soln1,0011,invalidscanf,warning,119
human,soln1,0208,uninitMemberVar,warning,398
human,soln1,0208,uninitMemberVar,warning,398
human,soln1,0237,variableScope,style,398
human,soln1,0237,variableScope,style,398
human,soln1,0237,variableScope,style,398
human,soln1,0037,unusedVariable,style,563
human,soln1,0037,unusedVariable,style,563
human,soln1,0021,noExplicitConstructor,style,398
human,soln1,0021,shadowVariable,style,398
human,soln1,0021,useStlAlgorithm,style,398
human,soln1,0188,unreadVariable,style,563
human,soln1,0188,unreadVariable,style,563
human,soln1,0188,unreadVariable,style,563
human,soln1,0188,unreadVariable,style,563
human,soln1,0122,noExplicitConstructor,style,398
human,soln1,0122,passedByValue,performance,398
human,soln1,0122,constParameterReference,style,398
human,soln1,0122,constParameterReference,style,398
human,soln1,0122,constParameterReference,style,398
human,soln1,0080,passedByValue,performance,398
human,soln1,0080,passedByValue,performance,398
human,soln1,0080,passedByValue,performance,398
human,soln1,0048,useStlAlgorithm,style,398
human,soln1,0079,cstyleCast,style,398
human,soln1,0079,cstyleCast,style,398
human,soln1,0079,unreadVariable,style,563
human,soln1,0079,unreadVariable,style,563
human,soln1,0269,constParameter,style,398
human,soln1,0137,missingReturn,error,758
human,soln1,0137,invalidscanf,warning,119
human,soln1,0263,shadowVariable,style,398
human,soln1,0061,uninitvar,warning,457
human,soln1,0120,shadowVariable,style,398
human,soln1,0107,unreadVariable,style,563
human,soln1,0107,unreadVariable,style,563
human,soln1,0206,invalidscanf,warning,119
human,soln1,0256,shadowVariable,style,398
human,soln1,0256,uninitvar,warning,457
human,soln1,0256,uninitvar,warning,457
human,soln1,0256,unusedStructMember,style,563
human,soln1,0256,unusedStructMember,style,563
human,soln1,0256,unusedStructMember,style,563
human,soln1,0010,shadowVariable,style,398
human,soln1,0010,passedByValue,performance,398
human,soln1,0010,passedByValue,performance,398
human,soln1,0010,constParameterPointer,style,398
human,soln1,0085,useStlAlgorithm,style,398
human,soln1,0090,unusedVariable,style,563
human,soln1,0097,useStlAlgorithm,style,398
human,soln1,0267,invalidScanfArgType_int,warning,686
human,soln1,0267,invalidScanfArgType_int,warning,686
human,soln1,0147,ignoredReturnValue,warning,252
human,soln1,0147,passedByValue,performance,398
human,soln1,0147,passedByValue,performance,398
human,soln1,0147,passedByValue,performance,398
human,soln1,0147,passedByValue,performance,398
human,soln1,0147,useStlAlgorithm,style,398
human,soln1,0237,uninitMemberVar,warning,398
human,soln1,0237,uninitMemberVar,warning,398
human,soln1,0237,functionStatic,style,398
human,soln1,0237,noExplicitConstructor,style,398
human,soln1,0237,variableScope,style,398
human,soln1,0237,variableScope,style,398
human,soln1,0237,variableScope,style,398
human,soln1,0237,shadowVariable,style,398
human,soln1,0237,unusedStructMember,style,563
human,soln1,0237,unusedStructMember,style,563
human,soln1,0237,unusedStructMember,style,563
human,soln1,0269,uninitvar,warning,457
human,soln1,0132,unreadVariable,style,563
human,soln1,0132,unreadVariable,style,563
human,soln1,0225,getsCalled,warning,477
human,soln1,0225,getsCalled,warning,477
human,soln1,0115,uninitMemberVar,warning,398
human,soln1,0115,uninitMemberVar,warning,398
human,soln1,0115,uninitMemberVar,warning,398
human,soln1,0115,shadowVariable,style,398
human,soln1,0115,shadowVariable,style,398
human,soln1,0115,shadowVariable,style,398
human,soln1,0235,iterateByValue,performance,398
human,soln1,0235,unreadVariable,style,563
human,soln1,0235,unreadVariable,style,563
human,soln1,0235,unreadVariable,style,563
human,soln1,0235,unreadVariable,style,563
human,soln1,0235,unreadVariable,style,563
human,soln1,0235,unreadVariable,style,563
human,soln1,0235,unreadVariable,style,563
human,soln1,0235,unreadVariable,style,563
human,soln1,0231,invalidscanf,warning,119
human,soln1,0231,unusedVariable,style,563
human,soln1,0231,unusedVariable,style,563
human,soln1,0069,variableScope,style,398
human,soln1,0184,shadowVariable,style,398
human,soln1,0184,constVariable,style,398
human,soln1,0184,constVariable,style,398
human,soln1,0276,useStlAlgorithm,style,398
human,soln1,0162,constVariableReference,style,398
human,soln1,0087,functionConst,style,398
human,soln1,0087,functionConst,style,398
human,soln1,0087,functionStatic,style,398
human,soln1,0038,unreadVariable,style,563
human,soln1,0038,unreadVariable,style,563
human,soln1,0161,duplicateCondition,style,398
human,soln1,0248,shadowVariable,style,398
human,soln1,0062,unusedVariable,style,563
human,soln1,0062,unusedVariable,style,563
human,soln1,0075,useStlAlgorithm,style,398
human,soln1,0148,unusedVariable,style,563
human,soln1,0256,unusedVariable,style,563
human,soln1,0027,invalidscanf,warning,119
human,soln1,0027,invalidscanf,warning,119
human,soln1,0233,useStlAlgorithm,style,398
human,soln1,0233,useStlAlgorithm,style,398
human,soln1,0016,shadowVariable,style,398
human,soln1,0016,constVariablePointer,style,398
human,soln1,0265,assertWithSideEffect,warning,398
human,soln1,0265,leakNoVarFunctionCall,error,772
human,soln1,0265,leakNoVarFunctionCall,error,772
human,soln1,0265,variableScope,style,398
human,soln1,0100,invalidscanf,warning,119
human,soln1,0158,shadowVariable,style,398
human,soln1,0158,shadowVariable,style,398
human,soln1,0158,unusedVariable,style,563
human,soln1,0006,uninitMemberVar,warning,398
human,soln1,0006,uninitMemberVar,warning,398
human,soln1,0242,uninitMemberVar,warning,398
human,soln1,0242,uninitMemberVar,warning,398
human,soln1,0242,functionConst,style,398
human,soln1,0242,functionConst,style,398
human,soln1,0242,duplicateAssignExpression,style,398
human,soln1,0242,constParameterPointer,style,398
human,soln1,0242,postfixOperator,performance,398
human,soln1,0242,postfixOperator,performance,398
human,soln1,0121,noCopyConstructor,warning,398
human,soln1,0121,noOperatorEq,warning,398
human,soln1,0121,noExplicitConstructor,style,398
human,soln1,0121,funcArgNamesDifferent,style,628
human,soln1,0249,knownConditionTrueFalse,style,570
human,soln1,0249,passedByValue,performance,398
human,soln1,0064,incrementboolean,style,398
human,soln1,0129,shadowVariable,style,398
human,soln1,0129,shadowVariable,style,398
human,soln1,0026,shadowVariable,style,398
human,soln1,0251,selfAssignment,style,398
human,soln1,0082,ignoredReturnValue,warning,252
human,soln1,0082,ignoredReturnValue,warning,252
human,soln1,0082,leakNoVarFunctionCall,error,772
human,soln1,0066,shadowVariable,style,398
human,soln1,0066,shadowVariable,style,398
human,soln1,0066,shadowVariable,style,398
human,soln1,0066,shadowVariable,style,398
human,soln1,0066,useStlAlgorithm,style,398
human,soln1,0066,unusedStructMember,style,563
human,soln1,0066,unusedStructMember,style,563
human,soln1,0066,unusedStructMember,style,563
human,soln1,0066,unusedStructMember,style,563
human,soln1,0066,unusedStructMember,style,563
human,soln1,0066,unusedStructMember,style,563
human,soln1,0066,unusedStructMember,style,563
human,soln1,0066,unusedStructMember,style,563
human,soln1,0066,unusedStructMember,style,563
human,soln1,0201,functionConst,style,398
human,soln1,0201,functionConst,style,398
human,soln1,0201,functionConst,style,398
human,soln1,0201,functionConst,style,398
human,soln1,0201,functionConst,style,398
human,soln1,0201,functionConst,style,398
human,soln1,0201,functionConst,style,398
human,soln1,0201,noExplicitConstructor,style,398
human,soln1,0201,variableScope,style,398
human,soln1,0201,variableScope,style,398
human,soln1,0201,variableScope,style,398
human,soln1,0201,variableScope,style,398
human,soln1,0201,passedByValue,performance,398
human,soln1,0201,passedByValue,performance,398
human,soln1,0201,passedByValue,performance,398
human,soln1,0201,passedByValue,performance,398
human,soln1,0201,passedByValue,performance,398
human,soln1,0201,passedByValue,performance,398
human,soln1,0201,passedByValue,performance,398
human,soln1,0201,constParameterReference,style,398
human,soln1,0201,constParameterReference,style,398
human,soln1,0201,constParameterReference,style,398
human,soln1,0201,constParameterReference,style,398
human,soln1,0201,constParameterReference,style,398
human,soln1,0201,constParameterReference,style,398
human,soln1,0201,constParameterReference,style,398
human,soln1,0201,constVariableReference,style,398
human,soln1,0201,constVariableReference,style,398
human,soln1,0201,constVariableReference,style,398
human,soln1,0145,invalidscanf,warning,119
human,soln1,0145,variableScope,style,398
human,soln1,0145,variableScope,style,398
human,soln1,0145,variableScope,style,398
human,soln1,0145,variableScope,style,398
human,soln1,0077,passedByValueCallback,performance,398
human,soln1,0077,passedByValueCallback,performance,398
human,soln1,0089,uninitMemberVar,warning,398
human,soln1,0089,noExplicitConstructor,style,398
human,soln1,0089,passedByValue,performance,398
human,soln1,0089,passedByValue,performance,398
human,soln1,0089,useStlAlgorithm,style,398
human,soln1,0089,unreadVariable,style,563
human,soln1,0140,useStlAlgorithm,style,398
human,soln1,0114,internalAstError,error,
human,soln1,0259,unreadVariable,style,563
human,soln1,0023,useStlAlgorithm,style,398
human,soln1,0258,constVariableReference,style,398
human,soln1,0025,useStlAlgorithm,style,398
human,soln1,0013,useStlAlgorithm,style,398
human,soln1,0261,variableScope,style,398
human,soln1,0044,shadowVariable,style,398
human,soln1,0044,shadowVariable,style,398
human,soln1,0044,shadowVariable,style,398
human,soln1,0044,unusedVariable,style,563
human,soln1,0044,unusedVariable,style,563
human,soln1,0044,unusedVariable,style,563
human,soln1,0044,unusedVariable,style,563
human,soln1,0035,variableScope,style,398
human,soln1,0035,variableScope,style,398
human,soln1,0035,variableScope,style,398
human,soln1,0035,variableScope,style,398
human,soln1,0081,unreadVariable,style,563
human,soln1,0081,unreadVariable,style,563
human,soln1,0081,unreadVariable,style,563
human,soln1,0081,unreadVariable,style,563
human,soln1,0081,unreadVariable,style,563
human,soln1,0081,unusedVariable,style,563
human,soln1,0081,unusedVariable,style,563
human,soln1,0081,unusedVariable,style,563
human,soln1,0081,unreadVariable,style,563
human,soln1,0081,unreadVariable,style,563
human,soln1,0081,unreadVariable,style,563
human,soln1,0081,unreadVariable,style,563
human,soln1,0081,unreadVariable,style,563
human,soln1,0081,unusedVariable,style,563
human,soln1,0081,unusedVariable,style,563
human,soln1,0135,invalidscanf,warning,119
human,soln1,0151,getsCalled,warning,477
human,soln1,0151,variableScope,style,398
human,soln1,0101,clarifyCalculation,style,783
human,soln1,0174,shadowVariable,style,398
human,soln1,0174,shadowVariable,style,398
human,soln1,0007,arrayIndexThenCheck,style,398
human,soln1,0200,functionConst,style,398
human,soln1,0200,noExplicitConstructor,style,398
human,soln1,0093,useStlAlgorithm,style,398
human,soln1,0093,useStlAlgorithm,style,398
human,soln1,0119,functionConst,style,398
human,soln1,0119,shadowVariable,style,398
human,soln1,0119,shadowVariable,style,398
human,soln1,0119,shadowVariable,style,398
human,soln1,0119,useStlAlgorithm,style,398
human,soln1,0232,variableScope,style,398
human,soln1,0232,useStlAlgorithm,style,398
human,soln1,0232,uninitvar,warning,457
human,soln1,0232,unreadVariable,style,563
human,soln1,0232,unusedVariable,style,563
human,soln1,0232,unusedVariable,style,563
human,soln1,0232,unusedVariable,style,563
human,soln1,0232,unusedVariable,style,563
human,soln1,0232,unusedVariable,style,563
human,soln1,0232,unusedVariable,style,563
human,soln1,0232,unusedVariable,style,563
human,soln1,0232,unusedVariable,style,563
human,soln1,0232,unusedVariable,style,563
human,soln1,0232,unusedVariable,style,563
human,soln1,0232,unreadVariable,style,563
human,soln1,0144,arrayIndexOutOfBounds,error,788
human,soln1,0144,incompleteArrayFill,portability,131
human,soln1,0144,uninitvar,warning,457
human,soln1,0144,unreadVariable,style,563
human,soln1,0144,unreadVariable,style,563
human,soln1,0144,unreadVariable,style,563
human,soln1,0144,unreadVariable,style,563
human,soln1,0055,shadowVariable,style,398
human,soln1,0055,unusedVariable,style,563
human,soln1,0170,functionStatic,style,398
human,soln1,0170,shadowVariable,style,398
human,soln1,0170,shiftTooManyBitsSigned,portability,758
human,soln1,0196,knownConditionTrueFalse,style,571
human,soln1,0196,knownConditionTrueFalse,style,571
human,soln1,0196,knownConditionTrueFalse,style,571
human,soln1,0196,constVariableReference,style,398
human,soln1,0228,shadowVariable,style,398
human,soln1,0112,arrayIndexOutOfBounds,error,788
human,soln1,0112,arrayIndexOutOfBounds,error,788
human,soln1,0076,shadowVariable,style,398
human,soln1,0076,shadowVariable,style,398
human,soln1,0076,unreadVariable,style,563
human,soln1,0076,unreadVariable,style,563
human,soln1,0076,unreadVariable,style,563
human,soln1,0076,unreadVariable,style,563
human,soln1,0076,unusedVariable,style,563
human,soln1,0120,constVariableReference,style,398
human,soln1,0120,unreadVariable,style,563
human,soln1,0142,knownConditionTrueFalse,style,571
human,soln1,0142,passedByValue,performance,398
human,soln1,0142,passedByValue,performance,398
human,soln1,0142,iterateByValue,performance,398
human,soln1,0142,iterateByValue,performance,398
human,soln1,0142,useStlAlgorithm,style,398
human,soln1,0142,useStlAlgorithm,style,398
human,soln1,0061,passedByValue,performance,398
human,soln1,0061,passedByValue,performance,398
human,soln1,0061,constVariableReference,style,398
human,soln1,0061,constVariableReference,style,398
human,soln1,0061,constVariableReference,style,398
human,soln1,0111,constVariable,style,398
human,soln1,0157,passedByValue,performance,398
human,soln1,0157,passedByValue,performance,398
human,soln1,0273,shadowVariable,style,398
human,soln1,0273,constVariablePointer,style,398
human,soln1,0084,shadowVariable,style,398
human,soln1,0084,shadowVariable,style,398
human,soln1,0084,shadowVariable,style,398
human,soln1,0175,uselessAssignmentArg,style,398
human,soln1,0175,uselessAssignmentArg,style,398
human,soln1,0175,invalidscanf,warning,119
human,soln1,0175,unreadVariable,style,563
human,soln1,0175,unreadVariable,style,563
human,soln1,0175,unreadVariable,style,563
human,soln1,0173,variableScope,style,398
human,soln1,0173,incompleteArrayFill,portability,131
human,soln1,0227,useStlAlgorithm,style,398
human,soln1,0227,useStlAlgorithm,style,398
human,soln1,0116,passedByValue,performance,398
human,soln1,0116,passedByValue,performance,398
human,soln1,0116,passedByValue,performance,398
human,soln1,0182,bitwiseOnBoolean,style,398
human,soln1,0182,clarifyCondition,style,398
human,soln1,0182,variableScope,style,398
human,soln1,0182,variableScope,style,398
human,soln1,0182,variableScope,style,398
human,soln1,0250,unusedVariable,style,563
human,soln1,0250,unusedVariable,style,563
human,soln1,0083,constVariable,style,398
human,soln1,0083,constVariable,style,398
human,soln1,0169,noExplicitConstructor,style,398
human,soln1,0169,shadowVariable,style,398
human,soln1,0152,constParameterPointer,style,398
human,soln1,0152,constParameterPointer,style,398
human,soln1,0224,knownConditionTrueFalse,style,570
human,soln1,0224,uninitvar,warning,457
human,soln1,0224,uninitvar,warning,457
human,soln1,0171,useStlAlgorithm,style,398
human,soln1,0124,functionConst,style,398
human,soln1,0124,functionConst,style,398
human,soln1,0124,shadowVariable,style,398
human,soln1,0179,ignoredReturnValue,warning,252
human,soln1,0179,ignoredReturnValue,warning,252
human,soln1,0118,variableScope,style,398
human,soln1,0118,constVariableReference,style,398
human,soln1,0198,functionConst,style,398
human,soln1,0198,functionConst,style,398
human,soln1,0198,useStlAlgorithm,style,398
human,soln1,0198,useStlAlgorithm,style,398
human,soln1,0198,useStlAlgorithm,style,398
human,soln1,0014,unreadVariable,style,563
human,soln1,0014,unusedVariable,style,563
human,soln1,0014,unusedVariable,style,563
human,soln1,0014,unreadVariable,style,563
human,soln1,0252,knownConditionTrueFalse,style,570
human,soln1,0252,invalidscanf,warning,119
human,soln1,0252,useStlAlgorithm,style,398
human,soln1,0155,shadowVariable,style,398
human,soln1,0203,variableScope,style,398
human,soln1,0203,variableScope,style,398
human,soln1,0203,variableScope,style,398
human,soln1,0203,unreadVariable,style,563
human,soln1,0203,unreadVariable,style,563
human,soln1,0203,unreadVariable,style,563
